DistrictId,WardId,StreetId,Size,Rooms,Toilets,Type,FurnishingSell,Urgent,Price
13,164,1508,50.0,1,1,Chung cư,Hoàn thiện cơ bản,0,1400000000.0
7,76,608,76.0,2,2,Chung cư,,0,4250000000.0
18,235,2219,69.0,2,2,Chung cư,Hoàn thiện cơ bản,0,3200000000.0
9,102,902,59.0,2,2,Chung cư,Hoàn thiện cơ bản,1,2350000000.0
8,89,832,62.0,2,2,Chung cư,Nội thất đầy đủ,0,1830000000.0
14,167,1559,56.0,2,1,Chung cư,Nội thất đầy đủ,0,2100000000.0
8,89,832,51.0,2,1,Chung cư,Hoàn thiện cơ bản,0,1700000000.0
8,98,880,73.0,2,2,Chung cư,Hoàn thiện cơ bản,0,3190000000.0
15,187,1825,68.0,2,2,Chung cư,Hoàn thiện cơ bản,0,3700000000.0
2,17,184,72.0,2,2,Chung cư,Nội thất cao cấp,0,5800000000.0
2,13,144,100.0,3,2,Chung cư,Nội thất đầy đủ,0,4650000000.0
8,88,816,52.0,1,1,Chung cư,,0,2700000000.0
13,157,1425,69.0,2,2,Chung cư,Nội thất đầy đủ,0,2150000000.0
12,153,1349,49.0,2,0,Chung cư,,0,1800000000.0
12,153,1349,58.0,2,1,Chung cư,,0,2300000000.0
7,82,732,67.0,2,2,Chung cư,,0,4250000000.0
19,241,2312,75.0,2,2,Chung cư,Hoàn thiện cơ bản,0,4300000000.0
24,310,2748,46.54,1,1,Chung cư,Nội thất cao cấp,0,2200000000.0
16,200,1915,88.0,2,2,Chung cư,Nội thất đầy đủ,0,3480000000.0
9,102,902,30.0,1,1,Chung cư,Hoàn thiện cơ bản,0,1700000000.0
24,310,2748,46.0,1,0,Chung cư,Hoàn thiện cơ bản,0,2000000000.0
9,102,902,69.0,2,2,Chung cư,Nội thất cao cấp,0,2650000000.0
9,102,902,69.0,2,2,Chung cư,,0,2800000000.0
8,89,827,57.0,2,2,Chung cư,Hoàn thiện cơ bản,0,1425000000.0
12,153,1349,58.0,2,1,Chung cư,Hoàn thiện cơ bản,1,2250000000.0
4,40,357,87.0,3,2,Chung cư,Nội thất đầy đủ,0,5950000000.0
4,44,379,104.0,3,2,Chung cư,Nội thất đầy đủ,0,5200000000.0
4,40,357,65.0,2,1,Chung cư,Nội thất đầy đủ,0,4500000000.0
