title,price,address,price_m2,rooms,toilets,direction,floors,property_legal_document,house_type,furnishing_sell,width,length,living_size,size,pty_characteristics
"Nhà ngang 7m dài 9,4m ngay UBND Quận, UBND P.10 - 119385577","6,45 tỷ","499/6/118, Đường Quang Trung, Phường 10, Quận Gò Vấp, Tp Hồ Chí Minh","99,54 triệu/m²",4 phòng,3 phòng,Đông Nam,2,Đã có sổ,"Nhà ngõ, hẻm",Nội thất cao cấp,,,,,
"BÁN NHÀ GẤP HẺM HỒNG LẠC P10 TÂN BÌNH 
NGAY CHỢ TÂN BÌNH 4x22CHỈ 10 tỷ - 119535331",10 tỷ,"Đường Hồng Lạc, Phường 10, Quận Tân Bình, Tp Hồ Chí Minh","113,64 triệu/m²",5 phòng,2 phòng,,4,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,4 m,,,,
"Nhà Xây Mới 1Lửng 3Lầu,Full Nội Thất Mặt Tiền Đường TTH13 Gần Toà Án - 118983805","6,3 tỷ","Đường Tân Thới Hiệp 13, Phường Tân Thới Hiệp, Quận 12, Tp Hồ Chí Minh","121,15 triệu/m²",5 phòng,5 phòng,Đông Nam,5,Đã có sổ,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,,,,,
Siêu phẩm mặt tiền toạ lạc tại 666 LÊ VĂN THỌ P13 -Gò Vấp . DT 5x15 nở - 119614065,"12,8 tỷ","Đường Lê Văn Thọ, Phường 13, Quận Gò Vấp, Tp Hồ Chí Minh","170,67 triệu/m²",3 phòng,4 phòng,Tây,3,Đã có sổ,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,,,,,
BÁN NHÀ LONG AN ( giáp hóc môn).hình thật giá thật 100% chính chủ bán - 118052597,195 triệu,"Đường Nguyễn Văn Bứa, Xã Xuân Thới Sơn, Huyện Hóc Môn, Tp Hồ Chí Minh","19,50 triệu/m²",1 phòng,1 phòng,,1,Đã có sổ,"Nhà ngõ, hẻm",Nội thất cao cấp,2 m,,,,
NHÀ 1T1L 68M2/1 TỶ 120TR Đ. LŨY BÁN BÍCH GẦN ỦY BAN QUẬN TÂN PHÚ SHR - 114385816,"1,12 tỷ","Lũy Bán Bích, Phường Tân Thành, Quận Tân Phú, Tp Hồ Chí Minh",112 triệu/m²,3 phòng,,,,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,,,,10 m²,Hẻm xe hơi
"Nhà SHR Hiệp Thành, 2PN,2WC - 119666547","2,59 tỷ","hiệp thành, Phường Hiệp Thành, Quận 12, Tp Hồ Chí Minh","58,86 triệu/m²",2 phòng,,Đông,2,Đã có sổ,"Nhà ngõ, hẻm",Nội thất cao cấp,5 m,,,,
"BÁN NHÀ 2 MẶT TIỀN HẺM XE TẢI Ở TX38, THẠNH XUÂN Q12. GIÁ : 4,75 TỈ - 119196124","4,75 tỷ","Thạnh Xuân 38, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh","59,38 triệu/m²",3 phòng,3 phòng,,2,Đã có sổ,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,6.5 m,,,,
Chuyển khu vực sinh sống cần bán lại nhà 61m2 APT - bình chánh - 117060982,"1,35 tỷ","Đường Ấp 2, Xã An Phú Tây, Huyện Bình Chánh, Tp Hồ Chí Minh","22,13 triệu/m²",2 phòng,2 phòng,,1,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,5.8 m,,,,
BÁN NHÀ HẺM 3M HOÀ HƯNG QUẬN 10 4 TẦNG GIÁ 3.6 TỶ CHỐT BÁN - 118715386,"3,6 tỷ","Hòa Hưng, Phường 13, Quận 10, Tp Hồ Chí Minh","142,86 triệu/m²",4 phòng,3 phòng,,4,Đã có sổ,"Nhà ngõ, hẻm",,3 m,8.5 m,,,
