DistrictId,WardId,StreetId,Size,Rooms,Toilets,Floors,Type,FurnishingSell,Characteristics,Urgent,Price
14,172,1670,75.0,4,4,0,Nhà phố liền kề,,"Hẻm xe hơi,Nhà nở hậu",0,5000000000.0
20,252,2485,90.01,2,2,1,"Nhà mặt phố, mặt tiền",,,0,1450000000.0
19,242,2327,69.0,3,2,3,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,,1,6600000000.0
7,76,615,41.0,3,3,0,"Nhà ngõ, hẻm",,,0,4200000000.0
18,225,2122,47.0,2,0,0,"Nhà ngõ, hẻm",,,0,3800000000.0
8,87,785,64.99,3,2,1,"Nhà ngõ, hẻm",Nội thất đầy đủ,,0,930000000.0
14,169,1590,56.0,4,5,4,"Nhà ngõ, hẻm",Nội thất đầy đủ,,0,6000000000.0
12,151,1314,80.0,3,3,2,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,,0,4900000000.0
14,174,1726,40.0,2,2,0,Nhà phố liền kề,,,0,1900000000.0
10,117,1045,40.0,4,4,0,"Nhà ngõ, hẻm",Nội thất đầy đủ,Hẻm xe hơi,0,3210000000.0
23,306,2730,10.0,3,2,1,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,,0,425000000.0
18,225,2123,50.0,5,6,0,"Nhà ngõ, hẻm",,"Hẻm xe hơi,Nhà nở hậu",0,6300000000.0
16,210,2009,40.0,4,5,3,Nhà phố liền kề,Nội thất đầy đủ,,0,2590000000.0
7,80,696,70.0,4,4,4,"Nhà mặt phố, mặt tiền",,,0,9800000000.0
17,217,2064,39.0,5,3,4,"Nhà ngõ, hẻm",Nội thất đầy đủ,,0,8000000000.0
9,109,986,72.0,2,2,0,"Nhà mặt phố, mặt tiền",,,0,4400000000.0
12,147,1275,63.0,4,6,5,"Nhà ngõ, hẻm",Nội thất đầy đủ,,0,6850000000.0
10,124,1102,10.0,2,0,0,"Nhà ngõ, hẻm",,,0,1350000000.0
7,82,730,15.0,2,0,0,"Nhà ngõ, hẻm",,,0,1300000000.0
14,172,1672,16.0,3,0,0,"Nhà mặt phố, mặt tiền",,,0,980000000.0
12,146,1259,20.0,3,0,0,"Nhà ngõ, hẻm",,,0,1270000000.0
9,107,949,100.7,4,4,4,Nhà phố liền kề,Nội thất đầy đủ,,0,9800000000.0
6,71,560,64.5,3,3,2,"Nhà ngõ, hẻm",Nội thất đầy đủ,,0,4099999999.9999995
20,262,2548,90.0,3,3,0,Nhà phố liền kề,,"Nhà nở hậu,Hẻm xe hơi",0,880000000.0
4,41,370,40.0,4,0,3,"Nhà ngõ, hẻm",Nội thất đầy đủ,,1,3150000000.0
16,202,1942,71.0,7,0,0,"Nhà ngõ, hẻm",,,0,7400000000.0
12,147,1271,61.0,4,4,4,"Nhà ngõ, hẻm",,,0,5500000000.0
12,153,1363,64.0,7,6,0,Nhà phố liền kề,Hoàn thiện cơ bản,,0,4800000000.0
16,201,1927,21.6,1,0,0,"Nhà ngõ, hẻm",Nội thất đầy đủ,,0,2600000000.0
19,244,2357,115.0,10,6,0,"Nhà ngõ, hẻm",Nội thất đầy đủ,,0,10900000000.0
13,162,1492,66.0,4,5,4,"Nhà ngõ, hẻm",Nội thất cao cấp,,0,5750000000.0
17,217,2062,40.0,3,5,5,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,,0,7600000000.0
9,104,918,58.0,4,0,3,"Nhà ngõ, hẻm",,,0,4600000000.0
12,151,1314,79.99,3,2,2,"Nhà ngõ, hẻm",,,0,4990000000.0
12,150,1304,51.0,4,0,0,"Nhà ngõ, hẻm",Nội thất cao cấp,"Hẻm xe hơi,Nhà nở hậu",0,4790000000.0
17,215,2046,52.0,3,3,2,"Nhà ngõ, hẻm",,,0,7600000000.0
9,110,988,80.0,7,6,0,"Nhà ngõ, hẻm",,,0,7500000000.0
7,73,579,46.0,3,2,2,"Nhà ngõ, hẻm",Nội thất đầy đủ,,0,4200000000.0
18,225,2123,40.0,2,0,2,"Nhà ngõ, hẻm",,"Hẻm xe hơi,Nhà nở hậu",0,4200000000.0
7,81,717,40.0,2,2,2,"Nhà ngõ, hẻm",Nội thất đầy đủ,,0,3000000000.0
5,45,385,67.2,4,3,3,,,,0,13990000000.0
14,172,1672,40.0,3,3,3,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,,0,4700000000.0
13,157,1424,16.6,2,2,0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,,0,1050000000.0
19,249,2457,50.83,3,4,0,"Nhà ngõ, hẻm",,Hẻm xe hơi,1,2700000000.0
5,45,383,28.1,2,2,0,"Nhà ngõ, hẻm",,Hẻm xe hơi,0,2550000000.0
12,147,1269,58.0,4,5,0,"Nhà ngõ, hẻm",Nội thất cao cấp,,0,5790000000.0
19,245,2367,66.0,2,2,2,"Nhà ngõ, hẻm",Nội thất đầy đủ,,0,5290000000.0
6,66,517,32.0,2,2,2,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,,0,2700000000.0
15,178,1762,20.0,2,2,1,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,,1,2000000000.0
