price,area,bedroom,toilet,district,province
2700000000.0,68.0,2.0,2.0,Quận 7,Hồ Chí Minh
2600000000.0,68.0,2.0,2.0,Quận 7,Hồ Chí Minh
14000000000.0,60.0,1.0,1.0,Hà Đông,Hà Nội
2800000000.0,64.0,2.0,1.0,Quận 7,Hồ Chí Minh
4000000000.0,68.0,2.0,2.0,Văn Giang,Hưng Yên
3800000000.0,58.0,2.0,1.0,Sơn Trà,Đà Nẵng
8680000000.0,60.0,5.0,4.0,Văn Giang,Hưng Yên
5500000000.0,85.0,2.0,2.0,Long Biên,Hà Nội
8199999999.999999,50.0,1.0,1.0,Long Biên,Hà Nội
3570000000.0,80.0,2.0,2.0,Bình Tân,Hồ Chí Minh
10000000000.0,70.0,2.0,1.0,Văn Giang,Hưng Yên
2550000000.0,75.0,2.0,2.0,Dĩ An,Bình Dương
3450000000.0,28.0,2.0,2.0,Gò Vấp,Hồ Chí Minh
2800000000.0,63.0,2.0,2.0,Gia Lâm,Hà Nội
7500000000.0,95.0,2.0,2.0,Quận 2,Hồ Chí Minh
7000000000.0,91.0,2.0,2.0,Quận 2,Hồ Chí Minh
4600000000.0,80.0,2.0,1.0,Nam Từ Liêm,Hà Nội
1720000000.0,46.0,2.0,1.0,Hoàng Mai,Hà Nội
6750000000.0,53.0,4.0,5.0,Gò Vấp,Hồ Chí Minh
11800000000.0,169.8,3.0,3.0,Long Biên,Hà Nội
9000000000.0,128.0,3.0,2.0,Bình Thạnh,Hồ Chí Minh
5000000000.0,89.53,2.0,1.0,Long Biên,Hà Nội
5200000000.0,80.0,2.0,2.0,Long Biên,Hà Nội
25200000000.0,126.7,2.0,2.0,Văn Giang,Hưng Yên
32000000000.0,95.0,4.0,4.0,Quận 2,Hồ Chí Minh
3200000000.0,55.0,1.0,1.0,Sơn Trà,Đà Nẵng
5100000000.0,90.0,2.0,2.0,Thuận Thành,Bắc Ninh
12000000000.0,141.5,3.0,2.0,Tây Hồ,Hà Nội
3500000000.0,80.0,2.0,2.0,Bình Tân,Hồ Chí Minh
5200000000.0,63.0,2.0,2.0,Quận 2,Hồ Chí Minh
4800000000.0,89.0,3.0,2.0,Gia Lâm,Hà Nội
6100000000.0,120.0,3.0,3.0,Long Biên,Hà Nội
19900000000.0,100.0,2.0,2.0,Hoài Đức,Hà Nội
14500000000.0,120.0,3.0,2.0,Hà Đông,Hà Nội
15800000000.0,167.9,4.0,4.0,Bắc Từ Liêm,Hà Nội
19900000000.0,104.0,3.0,2.0,Hoài Đức,Hà Nội
2700000000.0,200.0,2.0,2.0,Phú Xuyên,Hà Nội
5900000000.0,55.0,1.0,1.0,Quận 2,Hồ Chí Minh
5050000000.0,97.0,2.0,2.0,Tân Phú,Hồ Chí Minh
5660000000.0,101.0,3.0,2.0,Long Biên,Hà Nội
5150000000.0,80.0,2.0,2.0,Long Biên,Hà Nội
15340000000.0,108.0,5.0,6.0,Sơn Trà,Đà Nẵng
4500000000.0,74.0,3.0,2.0,Gia Lâm,Hà Nội
15200000000.0,108.0,4.0,3.0,Sơn Trà,Đà Nẵng
