title,price,address,price_m2,direction,property_legal_document,land_type,pty_characteristics,size,width,length
"Bán đất ngay QL1A đường 20m giá 1tỷ080 ở Tây Lân, BTĐ A Bình Tân - 118920256","1,08 tỷ","Đường Tây Lân, Phường Bình Trị Đông A, Quận Bình Tân, Tp Hồ Chí Minh",54 triệu/m²,,Đã có sổ,Đất thổ cư,,20 m²,,
Bán đất mặt tiền đường số 2 chợ KDC Bình Điền - 116180004,"4,7 tỷ","Đường số 2, Phường 7, Quận 8, Tp Hồ Chí Minh","40,87 triệu/m²",Nam,Đã có sổ,Đất thổ cư,Mặt tiền,115 m²,5 m,23 m
"Bán đất MT đường Trung An 1047m², gồm 300m² thổ cư - 119144666","7,1 tỷ",Trung An,"6,78 triệu/m²",,Đã có sổ,Đất thổ cư,"Mặt tiền,Thổ cư 1 phần",1047 m²,12.35 m,81.61 m
"Đất P15, Tân Bình, 48m2, sổ vuông đẹp, hẻm ô tô vào đến nhà chỉ 3.x tỷ - 119619272","3,6 tỷ","Đường Hoàng Bật Đạt, Phường 15, Quận Tân Bình, Tp Hồ Chí Minh",75 triệu/m²,,Đã có sổ,Đất thổ cư,Hẻm xe hơi,48 m²,,
Cần bán miếng đất mặt tiền đường bê tông nhà nước công nhận ở Nhà Bè - 119619230,"2,25 tỷ","Đường Lê Văn Lương, Xã Nhơn Đức, Huyện Nhà Bè, Tp Hồ Chí Minh","4,09 triệu/m²",Đông,Đã có sổ,Đất nông nghiệp,Hẻm xe hơi,550 m²,12 m,45 m
ĐẤT MẶT TIỀN GIÁ RẺ NGANG 8M LÊ THỊ HOA THỦ ĐỨC - 117200739,"4,5 tỷ",Đường Lê Thị Hoa,"33,09 triệu/m²",,Đã có sổ,Đất thổ cư,"Mặt tiền,Thổ cư 1 phần",136 m²,,
Đất 100m2 gần BV Thủ Đức P Tam Phú TP Thủ Đức - 119619153,"6,1 tỷ","Đường số 6, Phường Tam Phú, Quận Thủ Đức, Tp Hồ Chí Minh",61 triệu/m²,Tây Bắc,Đã có sổ,Đất thổ cư,Mặt tiền,100 m²,5 m,20 m
"Lô đất đẹp 5,7m x 20m. Hẻm xe hơi Đường Hiệp Thành 13 - 119195504","4,399 tỷ","Đường Hiệp Thành 13, Phường Hiệp Thành, Quận 12, Tp Hồ Chí Minh","41,90 triệu/m²",,Đã có sổ,Đất thổ cư,"Hẻm xe hơi,Nở hậu",105 m²,5.8 m,20 m
"Bán đất thổ cư Mặt tiền KD Hà Huy Giáp, Thạnh Lộc,Q12,giá rẻ - 118044895","8,5 tỷ",Hà Huy Giáp,68 triệu/m²,,Đã có sổ,Đất thổ cư,"Mặt tiền,Thổ cư toàn bộ",125 m²,4 m,31.3 m
"đất bờ sông Vàm thuật 154 m2, TC 100m2, gần trường cấp 2 Tô Ngọc Vân - 114268724","6,15 tỷ","Hà Huy Giáp, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh","39,94 triệu/m²",,Đã có sổ,Đất thổ cư,Mặt tiền,154 m²,4 m,33 m
