DistrictId,WardId,StreetId,Size,Type,Characteristics,Urgent,Price
15,184,1807,80.0,Đất thổ cư,"Mặt tiền,Hẻm xe hơi,Nở hậu",0,8900000000.0
12,152,1335,83.0,Đất thổ cư,,0,3450000000.0
9,111,1002,79.0,Đất thổ cư,Hẻm xe hơi,0,4500000000.0
14,171,1664,72.0,Đất thổ cư,"Nở hậu,Hẻm xe hơi,Thổ cư toàn bộ",0,4700000000.0
15,184,1807,100.0,Đất thổ cư,"Mặt tiền,Hẻm xe hơi,Nở hậu",0,12500000000.0
12,148,1289,82.0,Đất thổ cư,Hẻm xe hơi,0,3600000000.0
15,184,1807,80.0,Đất thổ cư,"Mặt tiền,Hẻm xe hơi,Nở hậu",0,9800000000.0
12,147,1266,72.0,Đất thổ cư,,0,3450000000.0
7,73,579,65.5,Đất thổ cư,,0,5100000000.0
14,172,1673,90.0,Đất thổ cư,Hẻm xe hơi,0,3650000000.0
12,145,1255,161.0,Đất thổ cư,"Mặt tiền,Hẻm xe hơi,Thổ cư toàn bộ",0,8600000000.0
12,145,1255,91.0,Đất thổ cư,"Hẻm xe hơi,Thổ cư toàn bộ",0,3900000000.0
14,171,1662,72.0,Đất thổ cư,"Hẻm xe hơi,Thổ cư toàn bộ",0,5400000000.0
12,145,1255,101.0,Đất thổ cư,"Mặt tiền,Hẻm xe hơi,Thổ cư toàn bộ",0,5500000000.0
14,166,1546,57.0,Đất thổ cư,"Mặt tiền,Thổ cư toàn bộ",0,3705000000.0
12,143,1227,100.0,Đất thổ cư,Hẻm xe hơi,0,3500000000.0
23,302,2704,88.0,Đất thổ cư,Mặt tiền,0,3700000000.0
14,172,1673,60.0,Đất thổ cư,"Mặt tiền,Nở hậu,Hẻm xe hơi,Thổ cư toàn bộ",0,3500000000.0
14,166,1532,80.0,Đất thổ cư,"Mặt tiền,Thổ cư toàn bộ",0,7200000000.0
24,310,2748,86.5,Đất thổ cư,,0,3000000000.0
12,145,1255,202.0,Đất thổ cư,"Hẻm xe hơi,Thổ cư toàn bộ",1,6000000000.0
13,156,1383,100.0,Đất thổ cư,Mặt tiền,0,9600000000.0
9,104,920,160.0,Đất nền dự án,"Mặt tiền,Thổ cư toàn bộ",0,6400000000.0
9,101,897,57.0,Đất thổ cư,Mặt tiền,0,2650000000.0
22,287,2624,130.0,Đất thổ cư,Mặt tiền,0,1460000000.0
12,153,1359,207.0,Đất thổ cư,Thổ cư toàn bộ,0,5500000000.0
12,145,1255,64.0,Đất thổ cư,"Mặt tiền,Thổ cư toàn bộ",0,4550000000.0
20,260,2539,100.0,Đất nền dự án,,0,5600000000.0
12,149,1299,90.0,Đất thổ cư,"Mặt tiền,Thổ cư toàn bộ",0,9990000000.0
23,296,2670,270.0,Đất thổ cư,"Hẻm xe hơi,Nở hậu,Không có thổ cư",0,4400000000.0
9,104,913,64.0,Đất thổ cư,"Thổ cư toàn bộ,Mặt tiền",0,3600000000.0
24,312,2755,100.0,Đất thổ cư,Hẻm xe hơi,0,3200000000.0
23,306,2733,105.0,Đất thổ cư,"Hẻm xe hơi,Nở hậu",0,1350000000.0
9,104,918,55.0,Đất nền dự án,"Hẻm xe hơi,Thổ cư toàn bộ",0,2900000000.0
23,301,2696,166.0,Đất thổ cư,"Mặt tiền,Nở hậu,Thổ cư toàn bộ,Hẻm xe hơi",1,1700000000.0
9,104,913,130.5,Đất thổ cư,,0,14355000000.0
12,145,1255,90.0,Đất thổ cư,"Hẻm xe hơi,Thổ cư toàn bộ",0,5450000000.0
12,153,1362,50.6,Đất thổ cư,"Hẻm xe hơi,Thổ cư toàn bộ",0,2800000000.0
20,253,2495,90.04,Đất thổ cư,Mặt tiền,0,660000000.0
23,299,2679,95.0,Đất thổ cư,Mặt tiền,0,1350000000.0
12,145,1255,66.0,Đất thổ cư,"Mặt tiền,Hẻm xe hơi,Thổ cư toàn bộ",0,4650000000.0
12,143,1227,58.0,Đất thổ cư,Hẻm xe hơi,0,3790000000.0
7,79,678,220.0,Đất thổ cư,Mặt tiền,0,14000000000.0
12,147,1270,60.0,Đất thổ cư,Mặt tiền,0,4590000000.0
13,156,1410,225.0,Đất thổ cư,Mặt tiền,0,14500000000.0
9,100,891,165.0,Đất thổ cư,,1,13600000000.0
12,153,1354,96.4,Đất thổ cư,"Mặt tiền,Thổ cư toàn bộ,Hẻm xe hơi",0,4900000000.0
23,302,2700,80.0,Đất thổ cư,"Mặt tiền,Thổ cư toàn bộ",1,1500000000.0
