price,rooms,toilets,floors,house_type,furnishing_sell,size,ward,district
6000000000.0,5,5,0.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,86.61,Phường Tây Thạnh,Quận Tân Phú
6200000000.0,4,0,3.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,73.0,Phường Tân Tạo,Quận Bình Tân
9400000000.0,6,6,4.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,85.0,Phường 15,Quận Phú Nhuận
5900000000.0,2,0,0.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,105.0,Phường Tân Phú,Quận 7
8900000000.0,4,5,3.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,100.0,Phường 14,Quận 4
9200000000.0,4,5,4.0,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,31.0,Phường 7,Quận Phú Nhuận
1850000000.0,2,2,1.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,27.5,Phường Tân Chánh Hiệp,Quận 12
860000000.0,1,1,0.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,60.01,Phường Thạnh Xuân,Quận 12
6000000000.0,5,5,0.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,86.61,Phường Tây Thạnh,Quận Tân Phú
6200000000.0,4,0,3.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,73.0,Phường Tân Tạo,Quận Bình Tân
9400000000.0,6,6,4.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,85.0,Phường 15,Quận Phú Nhuận
5900000000.0,2,0,0.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,105.0,Phường Tân Phú,Quận 7
8900000000.0,4,5,3.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,100.0,Phường 14,Quận 4
3980000000.0,2,2,2.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,37.0,Phường 11,Quận Gò Vấp
6200000000.0,5,4,4.0,"Nhà ngõ, hẻm",Nội thất cao cấp,40.0,Phường 6,Quận Bình Thạnh
10300000000.0,5,4,0.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,89.0,Phường 2,Quận 8
7000000000.0,9,0,5.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,38.0,Phường 7,Quận Bình Thạnh
5400000000.0,2,2,2.0,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,63.0,Phường Tân Thới Hiệp,Quận 12
7000000000.0,9,0,5.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,38.0,Phường 7,Quận Bình Thạnh
5400000000.0,2,2,2.0,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,63.0,Phường Tân Thới Hiệp,Quận 12
5450000000.0,2,2,0.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,70.0,Phường Tân Kiểng,Quận 7
3400000000.0,6,5,0.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,35.0,Phường 4,Quận 4
10800000000.0,4,0,4.0,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,120.0,Phường 7,Quận 8
1150000000.0,3,3,2.0,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,113.97,Xã Bình Chánh,Huyện Bình Chánh
6500000000.0,6,0,5.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,35.0,Phường 24,Quận Bình Thạnh
7350000000.0,4,0,4.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,65.0,Phường 12,Quận Bình Thạnh
3500000000.0,2,2,3.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,27.0,Phường 2,Quận Phú Nhuận
4390000000.0,4,3,3.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,52.0,Phường Bình Hưng Hoà A,Quận Bình Tân
780000000.0,1,1,2.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,22.0,Phường Thới An,Quận 12
3550000000.0,2,2,0.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,66.99,Phường Bình Hưng Hoà B,Quận Bình Tân
7250000000.0,4,4,4.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,40.0,Phường 11,Quận Bình Thạnh
13800000000.0,4,0,0.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,80.0,Phường Tân Hưng,Quận 7
3550000000.0,2,2,0.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,66.99,Phường Bình Hưng Hoà B,Quận Bình Tân
7250000000.0,4,4,4.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,40.0,Phường 11,Quận Bình Thạnh
13800000000.0,4,0,0.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,80.0,Phường Tân Hưng,Quận 7
1300000000.0,1,1,2.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,15.0,Phường 10,Quận Gò Vấp
1200000000.0,3,3,2.0,"Nhà mặt phố, mặt tiền",Hoàn thiện cơ bản,100.0,Xã Tân Kiên,Huyện Bình Chánh
9500000000.0,8,0,5.0,"Nhà ngõ, hẻm",Nội thất cao cấp,40.0,Phường 7,Quận Phú Nhuận
5550000000.0,4,4,3.0,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,90.0,Xã Nhơn Đức,Huyện Nhà Bè
