price,address,price_m2,rooms,toilets,direction,property_status,balconydirection,property_legal_document,apartment_type,furnishing_sell,size,apartment_feature
"2,29 tỷ","- 44,90 triệu/m²","44,90 triệu/m²",1 phòng,1 phòng,Đông Nam,Chưa bàn giao,,,Chung cư,,,
"1,35 tỷ","Nguyễn Xiển, Phường Long Thạnh Mỹ (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",45 triệu/m²,1 phòng,1 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,Nội thất đầy đủ,30 m²,
"11,80 tỷ","- 109,26 triệu/m²","109,26 triệu/m²",3 phòng,2 phòng,Tây Bắc,Đã bàn giao,Đông Nam,,Chung cư,,,
"1,68 tỷ","Trịnh Quang Nghị, Phường 7, Quận 8, Tp Hồ Chí Minh","32,31 triệu/m²",2 phòng,2 phòng,,Chưa bàn giao,,Hợp đồng mua bán,Chung cư,Nội thất đầy đủ,52 m²,
"2,40 tỷ","537 Phạm Văn Đồng , Đường Phạm Văn Đồng, Phường 13, Quận Bình Thạnh, Tp Hồ Chí Minh",40 triệu/m²,2 phòng,1 phòng,,Chưa bàn giao,,Sổ hồng riêng,Chung cư,,60 m²,
"1,80 tỷ","Trịnh Quang Nghị, Phường 7, Quận 8, Tp Hồ Chí Minh","29,03 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,,62 m²,
"1,68 tỷ","Đường 91, Phường Long Bình (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","28,51 triệu/m²",2 phòng,1 phòng,,Đã bàn giao,Đông Nam,Hợp đồng mua bán,Chung cư,,,
"3,50 tỷ","Đường Phạm Văn Đồng, Phường Hiệp Bình Chánh (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","36,84 triệu/m²",3 phòng,2 phòng,,Chưa bàn giao,,Hợp đồng đặt cọc,Chung cư,Nội thất đầy đủ,95 m²,
"1,70 tỷ","Phan Văn Hớn, Phường Tân Thới Nhất, Quận 12, Tp Hồ Chí Minh","31,48 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,54 m²,Căn góc
"2,80 tỷ","- 59,57 triệu/m²","59,57 triệu/m²",1 phòng,1 phòng,Tây Nam,Chưa bàn giao,Đông Nam,,,,,
"2,65 tỷ","326/1, 326/1 Đường Ung Văn Khiêm, Phường 25, Quận Bình Thạnh, Tp Hồ Chí Minh","38,41 triệu/m²",2 phòng,1 phòng,,Chưa bàn giao,Nam,Sổ hồng riêng,Chung cư,,,
"2,10 tỷ","Số 510, Kinh Dương Vương, Phường An Lạc A, Quận Bình Tân, Tp Hồ Chí Minh","37,50 triệu/m²",2 phòng,1 phòng,,Đã bàn giao,,Đang chờ sổ,Chung cư,Nội thất đầy đủ,,Căn góc
"3,85 tỷ","Trương Phước Phan, Phường Bình Trị Đông, Quận Bình Tân, Tp Hồ Chí Minh","26,46 triệu/m²",4 phòng,4 phòng,,Chưa bàn giao,,Sổ hồng riêng,Penthouse,,,
"1,25 tỷ","Đường Quốc lộ 1, Xã Tân Kiên, Huyện Bình Chánh, Tp Hồ Chí Minh",25 triệu/m²,2 phòng,1 phòng,,Chưa bàn giao,Đông Nam,Sổ hồng riêng,Chung cư,,,
