price,address,price_m2,rooms,toilets,direction,property_status,balconydirection,property_legal_document,apartment_type,furnishing_sell,size,apartment_feature
"5,20 tỷ","Mai Chí Thọ, Phường An Phú (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","58,43 triệu/m²",3 phòng,2 phòng,,Đã bàn giao,,Đang chờ sổ,Chung cư,,89 m²,
"2,17 tỷ","- 36,17 triệu/m²","36,17 triệu/m²",2 phòng,2 phòng,Đông Bắc,Đã bàn giao,Đông Bắc,Hợp đồng mua bán,Chung cư,,,
"3,45 tỷ","- 37,10 triệu/m²","37,10 triệu/m²",3 phòng,3 phòng,Đông,Chưa bàn giao,Nam,,Chung cư,,,
790 triệu,"- 12,54 triệu/m²","12,54 triệu/m²",nhiều hơn 10 phòng,2 phòng,Tây Bắc,Chưa bàn giao,Đông Nam,Hợp đồng mua bán,Chung cư,,,
"1,55 tỷ","Nguyễn Văn Linh, Phường 7, Quận 8, Tp Hồ Chí Minh",25 triệu/m²,2 phòng,2 phòng,,Chưa bàn giao,,Hợp đồng mua bán,Chung cư,Hoàn thiện cơ bản,,
"2,60 tỷ","Nguyễn Xiển, Phường Long Thạnh Mỹ (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","55,32 triệu/m²",2 phòng,1 phòng,,Đã bàn giao,Đông Nam,Đang chờ sổ,Chung cư,,47 m²,
"3,50 tỷ","Bình Trưng Tây, Phường Bình Trưng Tây (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","41,18 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,,85 m²,
"2,82 tỷ","Đường Tân Túc, Thị trấn Tân Túc, Huyện Bình Chánh, Tp Hồ Chí Minh","40,29 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,Bắc,Hợp đồng mua bán,Chung cư,,,
"2,15 tỷ","Nguyễn Xiển, Phường Long Thạnh Mỹ (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","36,44 triệu/m²",2 phòng,1 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,59 m²,
"6,10 tỷ","Nguyễn Xiển, Phường Long Thạnh Mỹ (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",61 triệu/m²,3 phòng,2 phòng,,Chưa bàn giao,,Sổ hồng riêng,Chung cư,,100 m²,
"2,60 tỷ","- 68,42 triệu/m²","68,42 triệu/m²",1 phòng,1 phòng,Tây Nam,Đã bàn giao,Đông Bắc,,Officetel,,,
"2,80 tỷ","số 88, N1, Phường Sơn Kỳ, Quận Tân Phú, Tp Hồ Chí Minh","52,83 triệu/m²",1 phòng,1 phòng,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,,53 m²,
"2,29 tỷ","- 44,90 triệu/m²","44,90 triệu/m²",1 phòng,1 phòng,Đông Nam,Chưa bàn giao,,,Chung cư,,,
"1,70 tỷ","Đường Nguyễn Duy Trinh, Phường Phú Hữu (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",34 triệu/m²,2 phòng,1 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,Nội thất đầy đủ,50 m²,
"11,60 tỷ","208, Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, Tp Hồ Chí Minh","107,41 triệu/m²",3 phòng,3 phòng,,Đã bàn giao,Nam,,Chung cư,,,
"1,35 tỷ","Nguyễn Xiển, Phường Long Thạnh Mỹ (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",45 triệu/m²,1 phòng,1 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,Nội thất đầy đủ,30 m²,
"2,60 tỷ","- 68,42 triệu/m²","68,42 triệu/m²",1 phòng,1 phòng,Tây Nam,Đã bàn giao,Đông Bắc,,Officetel,,,
"2,81 tỷ","số 88, N1, Phường Sơn Kỳ, Quận Tân Phú, Tp Hồ Chí Minh","53,02 triệu/m²",1 phòng,,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,Nội thất đầy đủ,53 m²,
"2,94 tỷ",- 60 triệu/m²,60 triệu/m²,1 phòng,1 phòng,Tây,Đã bàn giao,Đông Nam,,Chung cư,,,
"2,85 tỷ","- 33,93 triệu/m²","33,93 triệu/m²",3 phòng,2 phòng,Tây Nam,Đã bàn giao,Đông Bắc,Sổ hồng riêng,Chung cư,,,
"4,15 tỷ","số 88, N1, Phường Sơn Kỳ, Quận Tân Phú, Tp Hồ Chí Minh","49,40 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,,84 m²,
"2,50 tỷ","Đường Cao Lỗ, Phường 4, Quận 8, Tp Hồ Chí Minh","40,98 triệu/m²",2 phòng,1 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,Hoàn thiện cơ bản,,
"3,60 tỷ","- 83,72 triệu/m²","83,72 triệu/m²",1 phòng,,Tây Nam,Đã bàn giao,,Hợp đồng mua bán,Officetel,,,
"1,90 tỷ","15B, 15B Đường Nguyễn Lương Bằng, Xã Phú Xuân, Huyện Nhà Bè, Tp Hồ Chí Minh","24,68 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,1,Chung cư,Nội thất đầy đủ,77 m²,
"5,40 tỷ",- 72 triệu/m²,72 triệu/m²,2 phòng,2 phòng,Tây Nam,Đã bàn giao,Đông Bắc,,Chung cư,,,
"6,20 tỷ","- 45,93 triệu/m²","45,93 triệu/m²",3 phòng,3 phòng,Tây Nam,Đã bàn giao,Đông Bắc,Sổ hồng riêng,Chung cư,,,
"1,90 tỷ","- 37,44 triệu/m²","37,44 triệu/m²",2 phòng,2 phòng,Tây Bắc,Đã bàn giao,Đông Nam,,,,,
850 triệu,"Nguyễn Đức Thuận, Phường 13, Quận Tân Bình, Tp Hồ Chí Minh","28,33 triệu/m²",1 phòng,1 phòng,,Đã bàn giao,,Hợp đồng mua bán,"Căn hộ dịch vụ, mini",,,
"2,05 tỷ","- 29,29 triệu/m²","29,29 triệu/m²",2 phòng,,Đông Nam,Đã bàn giao,,Sổ hồng riêng,Chung cư,,,Căn góc
"8,20 tỷ","Lê Hiến Mai, Phường Thạnh Mỹ Lợi (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","80,39 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Duplex,,102 m²,
"2,25 tỷ","- 38,14 triệu/m²","38,14 triệu/m²",2 phòng,2 phòng,Đông Nam,Đã bàn giao,Đông Nam,,,,,
"3,40 tỷ","- 48,57 triệu/m²","48,57 triệu/m²",2 phòng,1 phòng,Tây,Đã bàn giao,Đông,,,,,
"6,60 tỷ","Bế Văn Cấm, Phường Tân Kiểng, Quận 7, Tp Hồ Chí Minh","79,52 triệu/m²",2 phòng,1 phòng,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,Nội thất đầy đủ,,Căn góc
"1,90 tỷ","15B Đường Nguyễn Lương Bằng, Xã Phú Xuân, Huyện Nhà Bè, TP. Hồ Chí Minh","26,39 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,Nội thất đầy đủ,,Căn góc
"2,10 tỷ","DN10, KDC AN SƯƠNG, Phường Tân Hưng Thuận, Quận 12, Tp Hồ Chí Minh","38,89 triệu/m²",2 phòng,,,Đã bàn giao,,Đang chờ sổ,Chung cư,,54 m²,
"4,80 tỷ","- 66,67 triệu/m²","66,67 triệu/m²",2 phòng,2 phòng,Nam,Đã bàn giao,Đông Nam,Sổ hồng riêng,Chung cư,,,
"5,60 tỷ","Số 584, Huỳnh Tấn Phát, Phường Tân Phú, Quận 7, Tp Hồ Chí Minh","60,22 triệu/m²",2 phòng,1 phòng,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,,,
"2,05 tỷ","151, Bến Vân Đồn, Phường 6, Quận 4, Tp Hồ Chí Minh","73,21 triệu/m²",1 phòng,1 phòng,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,,28 m²,
"11,60 tỷ","208, Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, Tp Hồ Chí Minh","107,41 triệu/m²",3 phòng,3 phòng,,Đã bàn giao,Nam,,Chung cư,,,
21 tỷ,"Lô 1.16 và 1.17 , Mai Chí Thọ, Phường Thủ Thiêm (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","176,47 triệu/m²",3 phòng,4 phòng,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,,119 m²,
"6,20 tỷ","Đường Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, Hồ Chí Minh, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh","51,67 triệu/m²",3 phòng,2 phòng,,Đã bàn giao,Đông,Sổ hồng riêng,Chung cư,Nội thất đầy đủ,,
2 tỷ,"Hồng Lạc, Phường 10, Quận Tân Bình, Tp Hồ Chí Minh","33,33 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,60 m²,
"2,80 tỷ","- 47,46 triệu/m²","47,46 triệu/m²",2 phòng,,Bắc,Chưa bàn giao,Nam,,Chung cư,,,
"1,75 tỷ","Đồng Văn Cống, Phường Cát Lái (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","28,69 triệu/m²",2 phòng,,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,61 m²,
"1,85 tỷ","Nguyễn Thị Định, Phường Cát Lái (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","31,36 triệu/m²",2 phòng,,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,,59 m²,0
"3,40 tỷ","175 Trương Định, Phường 9, Quận 3, Tp Hồ Chí Minh","49,28 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,Hoàn thiện cơ bản,69 m²,
"2,30 tỷ","Nguyễn Thị Định, Phường Cát Lái (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","37,70 triệu/m²",2 phòng,,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,61 m²,Căn góc
"3,90 tỷ","Tạ Quang Bửu, Phường 5, Quận 8, Tp Hồ Chí Minh",50 triệu/m²,2 phòng,2 phòng,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,Nội thất cao cấp,,Căn góc
"3,10 tỷ","Đường Thanh Loan, Phường 5, Quận 8, Tp Hồ Chí Minh","43,06 triệu/m²",2 phòng,1 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,72 m²,
"3,20 tỷ","Hồng Lạc, Phường 10, Quận Tân Bình, Tp Hồ Chí Minh",40 triệu/m²,2 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,Nội thất đầy đủ,80 m²,
"2,95 tỷ","Tăng Nhơn Phú, Phường Phước Long B (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","33,91 triệu/m²",3 phòng,2 phòng,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,,87 m²,
"2,70 tỷ","Số 4, Đào Trí, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh","39,71 triệu/m²",2 phòng,,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,,68 m²,
"2,75 tỷ","Số 4, Đào Trí, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh","40,44 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,,68 m²,
"1,85 tỷ","Nguyễn Thị Định, Phường Cát Lái (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","34,91 triệu/m²",2 phòng,,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,,53 m²,
"1,75 tỷ","Hồ Học Lãm, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh","27,34 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Đang chờ sổ,Chung cư,Hoàn thiện cơ bản,64 m²,
"5,90 tỷ","Hồng Bàng, Phường 6, Quận 6, Tp Hồ Chí Minh","65,56 triệu/m²",3 phòng,,,Chưa bàn giao,,Hợp đồng mua bán,Chung cư,Hoàn thiện cơ bản,90 m²,
"2,87 tỷ","- 43,05 triệu/m²","43,05 triệu/m²",2 phòng,,Nam,Đã bàn giao,,Đang chờ sổ,Chung cư,,66.66 m²,
"2,60 tỷ","- 37,14 triệu/m²","37,14 triệu/m²",2 phòng,1 phòng,Tây Nam,Đã bàn giao,Đông Bắc,Sổ hồng riêng,Chung cư,,,
"1,70 tỷ","Gò Dưa, Phường Hiệp Bình Phước (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","29,82 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,Nội thất cao cấp,57 m²,
"1,60 tỷ","Phan Văn Hớn, Phường Tân Thới Nhất, Quận 12, Tp Hồ Chí Minh","29,63 triệu/m²",2 phòng,2 phòng,,Chưa bàn giao,,Hợp đồng mua bán,Chung cư,,54 m²,
"1,85 tỷ","Phan Văn Hớn, Phường Tân Thới Nhất, Quận 12, Tp Hồ Chí Minh","28,46 triệu/m²",2 phòng,2 phòng,,Chưa bàn giao,,Sổ hồng riêng,Chung cư,,65 m²,
"1,75 tỷ","Dương Thị Giang, Phường Tân Thới Nhất, Quận 12, Tp Hồ Chí Minh","23,97 triệu/m²",2 phòng,2 phòng,,Chưa bàn giao,,Hợp đồng mua bán,Chung cư,,73 m²,
"1,60 tỷ",- 20 triệu/m²,20 triệu/m²,2 phòng,1 phòng,Đông,Đã bàn giao,Đông,Hợp đồng mua bán,Chung cư,,,
"5,80 tỷ","An Phú, Phường An Phú (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","80,56 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,Nội thất đầy đủ,72 m²,
"1,99 tỷ","- 33,17 triệu/m²","33,17 triệu/m²",2 phòng,2 phòng,Tây Nam,Đã bàn giao,,Sổ hồng riêng,Chung cư,,,Căn góc
"1,75 tỷ","D7, Phường Phú Hữu (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",35 triệu/m²,1 phòng,1 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,Nội thất đầy đủ,50 m²,
"3,98 tỷ","Đường Tân Túc, Thị trấn Tân Túc, Huyện Bình Chánh, Tp Hồ Chí Minh","35,22 triệu/m²",3 phòng,2 phòng,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,,,
"2,40 tỷ","- 45,28 triệu/m²","45,28 triệu/m²",1 phòng,1 phòng,Bắc,Đã bàn giao,Tây Bắc,,,,,
"4,20 tỷ","20, Phường Hiệp Bình Chánh (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","58,33 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,Nội thất đầy đủ,72 m²,
22 tỷ,", Xa Lộ Hà Nội, Phường An Phú (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","84,62 triệu/m²",4 phòng,3 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,260 m²,
"3,80 tỷ","295, Tân Kỳ Tân Quý, Phường Tân Sơn Nhì, Quận Tân Phú, Tp Hồ Chí Minh","45,78 triệu/m²",3 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,83 m²,
"3,45 tỷ","49C, 8, Phường 8, Quận 8, Tp Hồ Chí Minh","59,48 triệu/m²",2 phòng,,,Đã bàn giao,,Sổ hồng riêng,Chung cư,Nội thất cao cấp,58 m²,
"2,50 tỷ","Bến Bình Đông, Phường 14, Quận 8, Tp Hồ Chí Minh",50 triệu/m²,1 phòng,1 phòng,,Chưa bàn giao,,Hợp đồng mua bán,Chung cư,,50 m²,
"3,30 tỷ","Đường Ni Sư Huỳnh Liên, Phường 10, Quận Tân Bình, Tp Hồ Chí Minh","43,42 triệu/m²",2 phòng,2 phòng,,Chưa bàn giao,,Sổ hồng riêng,Chung cư,Nội thất đầy đủ,76 m²,
"1,90 tỷ","Đường số 2, Xã Bình Hưng, Huyện Bình Chánh, Tp Hồ Chí Minh","27,94 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,Bàn giao thô,68 m²,
"1,05 tỷ","Đường Đỗ Xuân Hợp, Phường Phú Hữu (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","17,42 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Đang chờ sổ,Chung cư,,60 m²,
"3,50 tỷ","7A , 7A  đường Thoại Ngọc Hầu, Phường Hòa Thạnh, Quận Tân Phú, Tp Hồ Chí Minh","59,32 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,Hoàn thiện cơ bản,59 m²,
"3,20 tỷ","Võ Văn Kiệt, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh","42,67 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,Hoàn thiện cơ bản,75 m²,
"3,45 tỷ","- 41,07 triệu/m²","41,07 triệu/m²",3 phòng,2 phòng,Tây,Đã bàn giao,Đông Bắc,,,,,
"3,65 tỷ","- 46,79 triệu/m²","46,79 triệu/m²",2 phòng,,Tây,Đã bàn giao,Đông,Hợp đồng mua bán,Chung cư,,,
"2,02 tỷ","Mai Chí Thọ, Phường An Phú (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","56,11 triệu/m²",1 phòng,1 phòng,,Đã bàn giao,,Đang chờ sổ,Chung cư,,36 m²,
"1,89 tỷ","- 34,36 triệu/m²","34,36 triệu/m²",2 phòng,1 phòng,Tây Bắc,Đã bàn giao,Đông Nam,Sổ hồng riêng,Chung cư,,,
"2,17 tỷ","Nguyễn Xiển, Phường Long Thạnh Mỹ (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","36,78 triệu/m²",2 phòng,1 phòng,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,,59 m²,
"2,05 tỷ","- 34,17 triệu/m²","34,17 triệu/m²",2 phòng,2 phòng,Tây Nam,Đã bàn giao,Đông Bắc,Sổ hồng riêng,Chung cư,,,
"2,52 tỷ","- 33,60 triệu/m²","33,60 triệu/m²",2 phòng,2 phòng,Nam,Đã bàn giao,Tây,,,,,
"1,87 tỷ","D7, Phường Phú Hữu (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","32,81 triệu/m²",2 phòng,1 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,Nội thất cao cấp,57 m²,
3 tỷ,"Tăng Nhơn Phú, Phường Phước Long B (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","34,48 triệu/m²",3 phòng,2 phòng,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,,87 m²,
"2,50 tỷ","Võ Văn Kiệt, Phường 16, Quận 8, Tp Hồ Chí Minh","33,78 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,,,
"2,75 tỷ","Đường Tân Túc, Thị trấn Tân Túc, Huyện Bình Chánh, Tp Hồ Chí Minh","39,86 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,Đông Nam,,Chung cư,,,
"2,25 tỷ","Đường Nguyễn Thị Búp, Phường Hiệp Thành, Quận 12, Tp Hồ Chí Minh","38,14 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,Hoàn thiện cơ bản,59 m²,
"2,12 tỷ","Số 8, Gò Dưa, Phường Hiệp Bình Phước (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","29,86 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,71 m²,Căn góc
"1,87 tỷ","Đường Đào Trinh Nhất, Phường Linh Trung (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","34,63 triệu/m²",2 phòng,2 phòng,,Chưa bàn giao,,Sổ hồng riêng,Chung cư,Nội thất đầy đủ,54 m²,
"1,64 tỷ","Đường Đào Trinh Nhất, Phường Linh Tây (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",40 triệu/m²,1 phòng,1 phòng,,Chưa bàn giao,,Sổ hồng riêng,Chung cư,,41 m²,
868 triệu,"Đường Quốc lộ 1A, Xã Bình Chánh, Huyện Bình Chánh, Tp Hồ Chí Minh","24,11 triệu/m²",2 phòng,,,Chưa bàn giao,,Sổ hồng riêng,Chung cư,,36 m²,
"5,20 tỷ","346, Bến Vân Đồn, Phường 1, Quận 4, Tp Hồ Chí Minh","56,52 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,Tây Bắc,,Chung cư,,,
"2,90 tỷ","Nguyễn Hữu Thọ, Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh","41,43 triệu/m²",2 phòng,,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,,70 m²,
"2,90 tỷ","Nguyễn Hữu Thọ, Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh","41,43 triệu/m²",2 phòng,,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,,70 m²,
"3,40 tỷ","196, Cao Lỗ, Phường 4, Quận 8, Tp Hồ Chí Minh","45,95 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,,74 m²,Căn góc
"2,90 tỷ","SỐ 1, Phường An Phú (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","33,33 triệu/m²",3 phòng,2 phòng,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,,87 m²,
"1,45 tỷ","Nguyễn Xiển, Phường Long Thạnh Mỹ (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","36,25 triệu/m²",1 phòng,1 phòng,,Chưa bàn giao,,Sổ hồng riêng,Chung cư,Hoàn thiện cơ bản,40 m²,
"3,20 tỷ","Phan Chu Trinh, Phường Hiệp Phú (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","37,65 triệu/m²",3 phòng,2 phòng,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,,85 m²,
"3,70 tỷ","11, Phường 11, Quận 6, Tp Hồ Chí Minh","43,02 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,Nam,1,Chung cư,Nội thất đầy đủ,,
17 tỷ,"Lê Hiến Mai, Phường Thạnh Mỹ Lợi (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","93,92 triệu/m²",4 phòng,4 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,181 m²,
"3,30 tỷ","Phan Chu Trinh, Phường Hiệp Phú (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","38,82 triệu/m²",3 phòng,2 phòng,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,,85 m²,
"12,50 tỷ","- 138,89 triệu/m²","138,89 triệu/m²",2 phòng,2 phòng,Đông Nam,Đã bàn giao,,Sổ hồng riêng,Chung cư,Hoàn thiện cơ bản,,
"1,95 tỷ","- 26,17 triệu/m²","26,17 triệu/m²",2 phòng,1 phòng,Đông Nam,Chưa bàn giao,Đông Bắc,Sổ hồng riêng,Chung cư,,,
"1,75 tỷ","Phan Văn Hớn, Phường Tân Thới Nhất, Quận 12, Tp Hồ Chí Minh","30,17 triệu/m²",2 phòng,,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,58 m²,
"1,66 tỷ","Phan Văn Hớn, Phường Tân Thới Nhất, Quận 12, Tp Hồ Chí Minh","33,20 triệu/m²",2 phòng,,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,50 m²,
"2,43 tỷ","Đường Dương Thị Giang, Phường Tân Thới Nhất, Quận 12, Tp Hồ Chí Minh","39,84 triệu/m²",2 phòng,2 phòng,,Chưa bàn giao,,Hợp đồng mua bán,Chung cư,,61 m²,
"2,60 tỷ","Đường Dương Thị Giang, Phường Tân Thới Nhất, Quận 12, Tp Hồ Chí Minh","36,62 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,,71 m²,
