price,address,price_m2,rooms,toilets,direction,property_status,balconydirection,property_legal_document,apartment_type,furnishing_sell,size,apartment_feature
"1,81 tỷ","Đường Điện Biên Phủ, Phường 22, Quận Bình Thạnh, Tp Hồ Chí Minh","50,28 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,Hoàn thiện cơ bản,36 m²,
"5,15 tỷ","Khu đô thị Cityland Park Hills - Số 18, Khu đô thị Cityland Park Hills - Số 18 Đường Phan Văn Trị, Phường 10, Quận Gò Vấp, Tp Hồ Chí Minh","52,55 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,98 m²,
"1,55 tỷ","Long Thạnh Mỹ, Phường Long Bình (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",155 triệu/m²,2 phòng,,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,10 m²,
"1,75 tỷ","Phạm Hữu Lầu, Phường Phú Mỹ, Quận 7, Tp Hồ Chí Minh","38,04 triệu/m²",1 phòng,1 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,Nội thất đầy đủ,46 m²,
4 tỷ,"18, 18 Đường Phan Văn Trị, Phường 10, Quận Gò Vấp, Tp Hồ Chí Minh","53,33 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,75 m²,
"1,60 tỷ","Đường Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, Tp Hồ Chí Minh",160 triệu/m²,2 phòng,1 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,Nội thất cao cấp,10 m²,
"1,68 tỷ","79-81, 79-81 79-81 Nguyễn Xí, Phường 26, Bình Thạnh, Hồ Chí Minh, Phường 26, Quận Bình Thạnh, Tp Hồ Chí Minh","33,60 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,,50 m²,
"5,70 tỷ","18, 18 Đường Phan Văn Trị, Phường 10, Quận Gò Vấp, Tp Hồ Chí Minh","48,31 triệu/m²",3 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,118 m²,
"1,72 tỷ","Tạ Quang Bửu, Phường 6, Quận 8, Tp Hồ Chí Minh",172 triệu/m²,3 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,Nội thất đầy đủ,10 m²,
"1,50 tỷ","Đường Hồ Văn Long, Phường Tân Tạo, Quận Bình Tân, Tp Hồ Chí Minh","26,79 triệu/m²",2 phòng,1 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,56 m²,
"3,50 tỷ","47, 47 33 Đường Lương Minh Nguyệt, Phường Tân Thới Hòa, Tân Phú, Hồ Chí Minh, Phường Tân Thới Hòa, Quận Tân Phú, Tp Hồ Chí Minh","49,30 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,71 m²,
"2,50 tỷ","Nguyễn Văn Linh, Phường Tân Phong, Quận 7, Tp Hồ Chí Minh","47,17 triệu/m²",1 phòng,,,Chưa bàn giao,,Hợp đồng mua bán,Officetel,,53 m²,
"1,80 tỷ","Hồng Lạc, Phường 10, Quận Tân Bình, Tp Hồ Chí Minh","37,50 triệu/m²",2 phòng,1 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,48 m²,
"1,40 tỷ",Đường Nguyễn Văn Khối,"25,45 triệu/m²",2 phòng,1 phòng,,Chưa bàn giao,,Đang chờ sổ,Chung cư,,55 m²,
"2,10 tỷ","Số 207, Nguyễn Xí, Phường 26, Quận Bình Thạnh, Tp Hồ Chí Minh",70 triệu/m²,2 phòng,2 phòng,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,,30 m²,
"7,20 tỷ",- 90 triệu/m²,90 triệu/m²,2 phòng,2 phòng,Đông Bắc,Đã bàn giao,Đông Bắc,,Chung cư,,,
"1,85 tỷ","Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh","48,68 triệu/m²",1 phòng,1 phòng,,Đã bàn giao,,Hợp đồng đặt cọc,Officetel,Hoàn thiện cơ bản,38 m²,
"2,50 tỷ","- 48,08 triệu/m²","48,08 triệu/m²",2 phòng,1 phòng,Nam,Chưa bàn giao,Bắc,,,,,
"1,90 tỷ","Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh","48,72 triệu/m²",1 phòng,1 phòng,,Đã bàn giao,,Hợp đồng đặt cọc,Officetel,,39 m²,
"2,10 tỷ","Số 207, Nguyễn Xí, Phường 26, Quận Bình Thạnh, Tp Hồ Chí Minh",70 triệu/m²,2 phòng,2 phòng,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,,30 m²,
"1,72 tỷ","Đường Vườn Lài, Phường Phú Thọ Hòa, Quận Tân Phú, Tp Hồ Chí Minh",172 triệu/m²,3 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,Nội thất đầy đủ,10 m²,
"5,60 tỷ",- 56 triệu/m²,56 triệu/m²,3 phòng,2 phòng,Bắc,Đã bàn giao,Nam,,,,,
"1,75 tỷ","2, 2 110A Đường Phạm Văn Đồng, Phường 3, Gò Vấp, Hồ Chí Minh, Phường 3, Quận Gò Vấp, Tp Hồ Chí Minh",35 triệu/m²,2 phòng,2 phòng,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,,50 m²,
"1,79 tỷ","Hồng Lạc, Phường 10, Quận Tân Bình, Tp Hồ Chí Minh","37,29 triệu/m²",2 phòng,,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,48 m²,
"1,55 tỷ","Đường Tân Thới Nhất 12, Phường Tân Thới Nhất, Quận 12, Tp Hồ Chí Minh",155 triệu/m²,1 phòng,1 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,Nội thất đầy đủ,10 m²,
"3,15 tỷ","số 88, N1, Phường Sơn Kỳ, Quận Tân Phú, Tp Hồ Chí Minh","46,32 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Hợp đồng đặt cọc,Chung cư,,68 m²,
"4,70 tỷ",Cập nhật 3 ngày trước,"63,51 triệu/m²",2 phòng,,,Đã bàn giao,,,Chung cư,,74 m²,
"9,34 tỷ",", Mỹ Đình, Phường Cầu Kho, Quận 1, Tp Hồ Chí Minh","86,48 triệu/m²",3 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,Nội thất cao cấp,108 m²,
"2,45 tỷ","Đường số 10, Phường Tam Bình (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","38,89 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,Đông Bắc,,Chung cư,,,
"1,59 tỷ","Đường Gò Dầu, Phường Tân Sơn Nhì, Quận Tân Phú, Tp Hồ Chí Minh",159 triệu/m²,2 phòng,1 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,Hoàn thiện cơ bản,10 m²,
"1,20 tỷ","Đường Nguyễn Xiển, Phường Long Thạnh Mỹ (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","39,87 triệu/m²",1 phòng,1 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,,
"2,40 tỷ","Đường Bình Quới, Phường 25, Quận Bình Thạnh, Tp Hồ Chí Minh","36,92 triệu/m²",2 phòng,1 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,,
"1,58 tỷ","Đường Phan Văn Hớn, Phường Tân Thới Nhất, Quận 12, Tp Hồ Chí Minh",158 triệu/m²,2 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,Hoàn thiện cơ bản,10 m²,
"2,95 tỷ","An Dương Vương, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh","57,84 triệu/m²",1 phòng,1 phòng,,Chưa bàn giao,,Hợp đồng mua bán,Chung cư,,51 m²,
"1,90 tỷ","Trịnh Quang Nghị, Xã Phong Phú, Huyện Bình Chánh, Tp Hồ Chí Minh","35,19 triệu/m²",1 phòng,1 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,54 m²,
"1,80 tỷ","Nguyễn Xiển, Phường Long Thạnh Mỹ (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","32,67 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,,,
"1,66 tỷ","Đường Hòa Bình, Phường Tân Thới Hòa, Quận Tân Phú, Tp Hồ Chí Minh",166 triệu/m²,2 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,Hoàn thiện cơ bản,10 m²,
"6,50 tỷ","Bát Nàn, Phường Thạnh Mỹ Lợi (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","80,25 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,,81 m²,
"1,25 tỷ","Đường Tạ Quang Bửu, Phường 6, Quận 8, Tp Hồ Chí Minh","16,67 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,Hoàn thiện cơ bản,75 m²,
"3,20 tỷ","18, 18 Đường Phan Văn Trị, Phường 10, Quận Gò Vấp, Tp Hồ Chí Minh",64 triệu/m²,1 phòng,1 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,50 m²,
"1,56 tỷ","Đường Tân Phú, Phường Tân Phú, Quận 7, Tp Hồ Chí Minh",156 triệu/m²,3 phòng,,,Đã bàn giao,,Sổ hồng riêng,Chung cư,Nội thất cao cấp,10 m²,
"3,50 tỷ","Nguyễn Xiển, Phường Long Bình (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","70,28 triệu/m²",2 phòng,2 phòng,,Chưa bàn giao,,Hợp đồng mua bán,Chung cư,,,
"1,55 tỷ","346, Bến Vân Đồn, Phường 1, Quận 4, Tp Hồ Chí Minh",155 triệu/m²,2 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,10 m²,
"1,62 tỷ","Hoàng Quốc Việt, Phường Phú Mỹ, Quận 7, Tp Hồ Chí Minh",162 triệu/m²,2 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,,
"1,50 tỷ","Số 4, Đào Trí, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh",150 triệu/m²,2 phòng,,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,10 m²,
"1,46 tỷ","Đường An Dương Vương, Phường 4, Quận 5, Tp Hồ Chí Minh","20,56 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,Nội thất đầy đủ,71 m²,
"2,55 tỷ","Võ Văn Kiệt, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh","45,54 triệu/m²",2 phòng,1 phòng,,Chưa bàn giao,,Sổ hồng riêng,Chung cư,Hoàn thiện cơ bản,56 m²,
"1,83 tỷ","Tạ Quang Bửu, Phường 6, Quận 8, Tp Hồ Chí Minh",183 triệu/m²,2 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,Nội thất đầy đủ,,
"1,80 tỷ","Dương Khánh Hội, Phường 4, Quận 4, Tp Hồ Chí Minh",180 triệu/m²,2 phòng,2 phòng,,Đã bàn giao,,Đang chờ sổ,Chung cư,Nội thất cao cấp,10 m²,
"1,59 tỷ","Đường Phạm Hữu Lầu, Phường Phú Mỹ, Quận 7, Tp Hồ Chí Minh","21,20 triệu/m²",3 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,,
"3,95 tỷ","xxx, Đường Đồng Xoài, Phường 13, Quận Tân Bình, Tp Hồ Chí Minh","103,95 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,"Tập thể, cư xá",,38 m²,
"1,99 tỷ","20, Phường Hiệp Bình Chánh (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","21,87 triệu/m²",3 phòng,,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,91 m²,
"1,69 tỷ","Đường Võ Văn Kiệt, Phường 16, Quận 8, Thành phố Hồ Chí Minh, Phường 16, Quận 8, Tp Hồ Chí Minh","33,80 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,Hoàn thiện cơ bản,50 m²,
"1,88 tỷ","Đường Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, Tp Hồ Chí Minh","62,67 triệu/m²",1 phòng,1 phòng,,Chưa bàn giao,,Sổ hồng riêng,Chung cư,,30 m²,
"1,89 tỷ","16, 16 16 Phổ Quang, Phường 2, Tân Bình, Hồ Chí Minh, Phường 2, Quận Tân Bình, Tp Hồ Chí Minh","37,80 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,,50 m²,
"1,55 tỷ","Đường Nguyễn Xiển, Phường Long Thạnh Mỹ (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","33,70 triệu/m²",1 phòng,1 phòng,,Chưa bàn giao,,Hợp đồng mua bán,Chung cư,,46 m²,
"1,25 tỷ",- 125 triệu/m²,125 triệu/m²,2 phòng,2 phòng,Tây,Đã bàn giao,Đông,Sổ hồng riêng,Chung cư,,,
"3,53 tỷ","7A , 7A  đường Thoại Ngọc Hầu, Phường Hòa Thạnh, Quận Tân Phú, Tp Hồ Chí Minh","56,94 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,62 m²,
"1,70 tỷ","Đường Xa Lộ Hà Nội, Phường Thảo Điền (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",170 triệu/m²,2 phòng,1 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,Nội thất đầy đủ,10 m²,
"1,95 tỷ","Đường Nguyễn Xí, Phường 26, Quận Bình Thạnh, Tp Hồ Chí Minh","29,55 triệu/m²",2 phòng,1 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,Nội thất đầy đủ,,
"2,99 tỷ","Đường Hồng Hà, Phường 2, Quận Tân Bình, Tp Hồ Chí Minh","39,87 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,,75 m²,
"2,99 tỷ","Đường Hồng Hà, Phường 2, Quận Tân Bình, Tp Hồ Chí Minh","39,87 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,,75 m²,
"3,25 tỷ","Nguyễn Hữu Thọ, Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh","46,43 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,,70 m²,
"1,12 tỷ",- 16 triệu/m²,16 triệu/m²,2 phòng,2 phòng,Tây,Đã bàn giao,Đông,Sổ hồng riêng,Chung cư,,,
"5,68 tỷ","- 56,80 triệu/m²","56,80 triệu/m²",2 phòng,2 phòng,Đông,Đã bàn giao,Tây,Sổ hồng riêng,Chung cư,,,
