price,address,price_m2,direction,property_legal_document,land_type,pty_characteristics,size,width,length
"3,85 tỷ","Đường Nguyễn Văn Quá, Phường Đông Hưng Thuận, Quận 12, Tp Hồ Chí Minh","57,89 triệu/m²",Tây Nam,Đã có sổ,Đất thổ cư,Hẻm xe hơi,66.5 m²,4 m,18 m
"5,47 tỷ","Đường Nguyễn Xiển, Phường Long Bình (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","51,12 triệu/m²",,Đã có sổ,Đất thổ cư,Mặt tiền,107 m²,5 m,21 m
"2,70 tỷ",Cập nhật 2 ngày trước,"52,94 triệu/m²",,Đã có sổ,Đất thổ cư,,51 m²,,
"3,50 tỷ","Đường Lã Xuân Oai, Phường Long Trường (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","64,81 triệu/m²",,Đã có sổ,Đất thổ cư,"Hẻm xe hơi,Thổ cư toàn bộ",54 m²,4 m,13.5 m
"4,20 tỷ","Đường số 10, Phường Hiệp Bình Phước (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",42 triệu/m²,,Đã có sổ,Đất thổ cư,Mặt tiền,100 m²,4.2 m,21 m
"3,95 tỷ","Đường Bình Thành, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh","75,96 triệu/m²",,Đã có sổ,Đất thổ cư,"Hẻm xe hơi,Thổ cư toàn bộ,Mặt tiền",52 m²,5.3 m,10 m
"3,60 tỷ",Đường Nguyễn Duy Trinh,40 triệu/m²,,Đã có sổ,Đất thổ cư,"Hẻm xe hơi,Thổ cư toàn bộ",90 m²,6.2 m,15 m
"3,70 tỷ","Đường Trường Lưu, Phường Long Trường (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","41,11 triệu/m²",,Đã có sổ,Đất thổ cư,"Hẻm xe hơi,Thổ cư toàn bộ",90 m²,6 m,15 m
4 tỷ,"Basa, Xã Phước Hiệp, Huyện Củ Chi, Tp Hồ Chí Minh","3,48 triệu/m²",Tây Nam,Đã có sổ,Đất thổ cư,"Mặt tiền,Hẻm xe hơi",1148 m²,26 m,45 m
680 triệu,Cập nhật 2 ngày trước,5 triệu/m²,,Đã có sổ,Đất thổ cư,,136 m²,,
125 tỷ,"168, Trường Chinh, Phường 15, Quận Tân Bình, Tp Hồ Chí Minh","29,31 triệu/m²",,Đã có sổ,Đất thổ cư,Mặt tiền,4265 m²,80 m,50 m
"2,90 tỷ","00, TL743, Phường Bình Chiểu (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","37,66 triệu/m²",,Đã có sổ,Đất thổ cư,Thổ cư toàn bộ,77 m²,4 m,19 m
"2,53 tỷ","Đường Nguyễn Hữu Trí, Thị trấn Tân Túc, Huyện Bình Chánh, Tp Hồ Chí Minh","42,22 triệu/m²",Đông Nam,Đã có sổ,Đất nền dự án,"Mặt tiền,Hẻm xe hơi",60 m²,5.5 m,9.87 m
"7,50 tỷ","Đường Võ Thị Liễu, Phường An Phú Đông, Quận 12, Tp Hồ Chí Minh","39,27 triệu/m²",,Đã có sổ,Đất thổ cư,"Hẻm xe hơi,Thổ cư toàn bộ",191 m²,5.5 m,35 m
"4,70 tỷ","Đường Huỳnh Tấn Phát, Thị trấn Nhà Bè, Huyện Nhà Bè, Tp Hồ Chí Minh","46,12 triệu/m²",Đông Nam,Đã có sổ,Đất thổ cư,Hẻm xe hơi,101.9 m²,5 m,21 m
"4,55 tỷ","Đường Võ Văn Kiệt, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh",65 triệu/m²,,Đã có sổ,Đất thổ cư,Thổ cư toàn bộ,70 m²,4 m,17.5 m
120 tỷ,Cập nhật 2 ngày trước,"127,93 triệu/m²",,Đã có sổ,Đất thổ cư,Mặt tiền,938 m²,,
"1,35 tỷ","Đường số 15, Xã Bình Hưng, Huyện Bình Chánh, Tp Hồ Chí Minh","13,50 triệu/m²",,Đã có sổ,Đất thổ cư,"Mặt tiền,Hẻm xe hơi,Nở hậu,Thổ cư toàn bộ",100 m²,5 m,20 m
16 tỷ,"Đường Nguyễn Văn Bứa, Xã Xuân Thới Sơn, Huyện Hóc Môn, Tp Hồ Chí Minh","39,23 triệu/m²",,Đã có sổ,Đất thổ cư,Mặt tiền,407.8 m²,10 m,41 m
"3,70 tỷ","Thạnh Xuân 25, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh","44,58 triệu/m²",Tây,Đã có sổ,Đất thổ cư,Hẻm xe hơi,83 m²,5 m,16.6 m
"16,50 tỷ","Đường Vĩnh Lộc, Xã Vĩnh Lộc A, Huyện Bình Chánh, Tp Hồ Chí Minh","20,42 triệu/m²",,Đã có sổ,Đất thổ cư,,808 m²,10 m,30 m
"13,40 tỷ","Đường Thạnh Xuân 25, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh","30,66 triệu/m²",Tây,Đã có sổ,Đất thổ cư,Hẻm xe hơi,437 m²,12 m,41 m
"4,50 tỷ","Nông thông mới, Thị trấn Tân Túc, Huyện Bình Chánh, Tp Hồ Chí Minh","4,50 triệu/m²",,Đã có sổ,Đất nông nghiệp,"Mặt tiền,Hẻm xe hơi,Chưa có thổ cư",1000 m²,20 m,50 m
"1,25 tỷ","Đường Trần Văn Mười, Xã Xuân Thới Thượng, Huyện Hóc Môn, Tp Hồ Chí Minh","10,87 triệu/m²",,Đã có sổ,Đất thổ cư,"Thổ cư toàn bộ,Hẻm xe hơi,Mặt tiền",115 m²,5 m,23 m
750 triệu,"Tỉnh Lộ 7, Xã Thái Mỹ, Huyện Củ Chi, Tp Hồ Chí Minh","3,01 triệu/m²",,Đã có sổ,Đất thổ cư,Mặt tiền,249 m²,6 m,40 m
"3,50 tỷ",Cập nhật 2 ngày trước,"54,69 triệu/m²",Đông Nam,Đã có sổ,Đất thổ cư,"Hẻm xe hơi,Nở hậu,Thổ cư toàn bộ",64 m²,,
"3,55 tỷ","Đường Gò Cát, Phường Phú Hữu (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","56,35 triệu/m²",,Đã có sổ,Đất thổ cư,,63 m²,4 m,15.5 m
"4,75 tỷ",Cập nhật 2 ngày trước,125 triệu/m²,,Đã có sổ,Đất thổ cư,,38 m²,,
"8,60 tỷ","Đường Trung Mỹ Tây 2A, Phường Trung Mỹ Tây, Quận 12, Tp Hồ Chí Minh","46,74 triệu/m²",Tây Nam,Đã có sổ,Đất thổ cư,"Hẻm xe hơi,Thổ cư toàn bộ",184 m²,8 m,23 m
"4,05 tỷ","Đường số 7, Phường Tam Bình (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","75,70 triệu/m²",,Đã có sổ,Đất thổ cư,Hẻm xe hơi,53.5 m²,4.2 m,13 m
"6,50 tỷ","196, Đường Số 11, Phường Trường Thọ (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","85,64 triệu/m²",Đông Nam,Đã có sổ,Đất thổ cư,"Mặt tiền,Hẻm xe hơi,Nở hậu,Thổ cư toàn bộ",75.9 m²,4.2 m,17.8 m
6 tỷ,"Đường Rừng Sác, Xã Bình Khánh, Huyện Cần Giờ, Tp Hồ Chí Minh",952.380 đ/m²,Đông,Đã có sổ,Đất nông nghiệp,"Mặt tiền,Chưa có thổ cư",6300 m²,50 m,120 m
14 tỷ,"Thành Thái, Phường 14, Quận 10, Tp Hồ Chí Minh","172,84 triệu/m²",,Đã có sổ,Đất thổ cư,,81 m²,4 m,20 m
"3,30 tỷ","Lê Văn Lương, Xã Nhơn Đức, Huyện Nhà Bè, Tp Hồ Chí Minh","39,76 triệu/m²",,Đã có sổ,Đất thổ cư,Hẻm xe hơi,83 m²,8.3 m,10 m
"3,30 tỷ","Lê Văn Lương, Xã Nhơn Đức, Huyện Nhà Bè, Tp Hồ Chí Minh","39,76 triệu/m²",,Đã có sổ,Đất thổ cư,Hẻm xe hơi,83 m²,8.3 m,10 m
"3,20 tỷ",Lê Văn Lương,40 triệu/m²,,Đã có sổ,Đất thổ cư,"Mặt tiền,Hẻm xe hơi,Nở hậu",80 m²,6.7 m,12 m
550 triệu,"Đường Quốc lộ 22, Xã Tân Phú Trung, Huyện Củ Chi, Tp Hồ Chí Minh","3,90 triệu/m²",,Đã có sổ,Đất thổ cư,,141 m²,5 m,28.2 m
"13,86 tỷ","bưng ông thoàn , Phường Phước Long B (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",110 triệu/m²,Tây Nam,Đã có sổ,Đất nền dự án,,126 m²,6 m,21 m
"13,13 tỷ","Đường Đỗ Xuân Hợp, Phường Phước Long B (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",105 triệu/m²,Đông Bắc,Đã có sổ,Đất nền dự án,,125 m²,5 m,25 m
"7,60 tỷ","Đường Liên Phường, Phường Phước Long B (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","71,03 triệu/m²",Tây Bắc,Đã có sổ,Đất nền dự án,,107 m²,8 m,15 m
685 triệu,Đường Ba Sa,"3,22 triệu/m²",,Đã có sổ,Đất thổ cư,Mặt tiền,213 m²,8 m,27 m
495 triệu,Cập nhật 2 ngày trước,"7,50 triệu/m²",,Đã có sổ,Đất thổ cư,Thổ cư toàn bộ,66 m²,,
"19,50 tỷ","Đường Phạm Hữu Lầu, Phường Phú Mỹ, Quận 7, Tp Hồ Chí Minh","81,25 triệu/m²",,Đã có sổ,Đất thổ cư,,240 m²,12 m,20 m
"4,50 tỷ","Nguyễn Bình, Xã Nhơn Đức, Huyện Nhà Bè, Tp Hồ Chí Minh","56,25 triệu/m²",,Đã có sổ,Đất thổ cư,Hẻm xe hơi,80 m²,5 m,16 m
500 triệu,"Đường Quốc lộ 22, Xã Phước Hiệp, Huyện Củ Chi, Tp Hồ Chí Minh","2,63 triệu/m²",,Đã có sổ,Đất thổ cư,,190 m²,5 m,38 m
400 triệu,"Đường Thanh Niên, Xã Phạm Văn Hai, Huyện Bình Chánh, Tp Hồ Chí Minh","8,33 triệu/m²",,Đã có sổ,Đất thổ cư,Hẻm xe hơi,48 m²,4 m,12 m
"15,50 tỷ","Đường Thạnh Xuân 21, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh","36,64 triệu/m²",,Đã có sổ,Đất thổ cư,Mặt tiền,423 m²,9 m,47 m
"5,50 tỷ","1181 Lê văn lương, Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh","57,89 triệu/m²",Đông,Đã có sổ,Đất thổ cư,"Mặt tiền,Thổ cư toàn bộ",95 m²,5 m,19 m
"15,50 tỷ","Đường Huỳnh Thị Hai, Phường Tân Chánh Hiệp, Quận 12, Tp Hồ Chí Minh","88,62 triệu/m²",Nam,Đã có sổ,Đất thổ cư,"Mặt tiền,Nở hậu",174.9 m²,5.3 m,33 m
"5,50 tỷ","Đường Lâm Văn Bền, Phường Tân Kiểng, Quận 7, Tp Hồ Chí Minh","84,62 triệu/m²",,Đã có sổ,Đất thổ cư,"Hẻm xe hơi,Nở hậu",65 m²,4 m,16 m
"20,70 tỷ",Cập nhật 2 ngày trước,"14,09 triệu/m²",Đông Bắc,Đã có sổ,Đất thổ cư,Mặt tiền,1469 m²,,
"9,60 tỷ","Đường số 10, Phường Hiệp Bình Chánh (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",96 triệu/m²,,Đã có sổ,Đất thổ cư,"Mặt tiền,Thổ cư toàn bộ",100 m²,5 m,20 m
"9,80 tỷ","Đường D1, Phường Hiệp Phú (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","93,33 triệu/m²",Tây Nam,Đã có sổ,Đất thổ cư,,105 m²,5 m,21 m
"3,50 tỷ","Đường Lê Văn Lương, Xã Nhơn Đức, Huyện Nhà Bè, Tp Hồ Chí Minh","38,89 triệu/m²",,Đã có sổ,Đất thổ cư,,90 m²,5 m,18 m
984 triệu,"Đường Nguyễn Kim Cương, Xã Tân Thạnh Đông, Huyện Củ Chi, Tp Hồ Chí Minh",6 triệu/m²,,Đã có sổ,Đất thổ cư,"Mặt tiền,Thổ cư 1 phần",164 m²,5 m,32.9 m
"3,60 tỷ","Đường Hương Lộ 2, Phường Bình Trị Đông A, Quận Bình Tân, Tp Hồ Chí Minh",50 triệu/m²,,Đã có sổ,Đất thổ cư,"Hẻm xe hơi,Thổ cư toàn bộ",72 m²,4 m,18 m
720 triệu,"Đường Ba Sa, Xã Phước Hiệp, Huyện Củ Chi, Tp Hồ Chí Minh","5,76 triệu/m²",,Đã có sổ,Đất thổ cư,Mặt tiền,125 m²,5 m,25 m
"1,69 tỷ",Cập nhật 18 giờ trước,"9,01 triệu/m²",,Đã có sổ,Đất thổ cư,Hẻm xe hơi,187.5 m²,,
"1,65 tỷ","Đường Nguyễn Văn Quá, Phường Đông Hưng Thuận, Quận 12, Tp Hồ Chí Minh","22,92 triệu/m²",Tây,Đã có sổ,Đất thổ cư,Hẻm xe hơi,72 m²,4 m,18 m
"2,50 tỷ",Cập nhật 2 ngày trước,"41,67 triệu/m²",,Đã có sổ,Đất nền dự án,,60 m²,,
"12,50 tỷ",Đường Số 109,"95,20 triệu/m²",,Đã có sổ,Đất thổ cư,Mặt tiền,131.3 m²,5 m,26.2 m
"1,10 tỷ",Cập nhật 2 ngày trước,"2,09 triệu/m²",,Đã có sổ,Đất thổ cư,"Mặt tiền,Hẻm xe hơi,Nở hậu,Thổ cư 1 phần,Thổ cư toàn bộ",526 m²,,
14 tỷ,Cập nhật 2 ngày trước,"38,89 triệu/m²",,Đã có sổ,Đất thổ cư,,360 m²,,
620 triệu,"nguyễn thị nị, Xã Phước Hiệp, Huyện Củ Chi, Tp Hồ Chí Minh","4,47 triệu/m²",,Đã có sổ,Đất thổ cư,"Mặt tiền,Thổ cư toàn bộ",138.8 m²,8 m,17.1 m
"1,49 tỷ","Đường Vòng xoay Ngã tư Bình Phước, Phường Hiệp Bình Phước (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","28,65 triệu/m²",,Đã có sổ,Đất thổ cư,"Mặt tiền,Hẻm xe hơi,Nở hậu",52 m²,4 m,13 m
730 triệu,"Đường Ấp Đông 3, Xã Thới Tam Thôn, Huyện Hóc Môn, Tp Hồ Chí Minh","4,48 triệu/m²",,Không có sổ,Đất thổ cư,Thổ cư toàn bộ,163 m²,8 m,20 m
"3,90 tỷ","Hẻm xe hơi 7m, Đường số 12, Phường Tam Bình (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",75 triệu/m²,,Đã có sổ,Đất thổ cư,"Thổ cư toàn bộ,Hẻm xe hơi",52 m²,4 m,13 m
"15,90 tỷ","Đường 2C, Phường Phú Mỹ, Quận 7, Tp Hồ Chí Minh","119,55 triệu/m²",Nam,Đã có sổ,Đất thổ cư,"Thổ cư toàn bộ,Mặt tiền",133 m²,7 m,19 m
"11,50 tỷ","Đường Tỉnh lộ 8, Xã Bình Mỹ, Huyện Củ Chi, Tp Hồ Chí Minh","7,90 triệu/m²",,Đã có sổ,Đất thổ cư,Mặt tiền,1456 m²,22 m,66 m
"5,70 tỷ","Đường Lê Văn Thịnh, Phường Bình Trưng Tây (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","61,96 triệu/m²",Tây,Đã có sổ,Đất thổ cư,"Hẻm xe hơi,Thổ cư toàn bộ",92 m²,9.2 m,
"16,58 tỷ",", Nguyễn Văn Kỉnh, Phường Thạnh Mỹ Lợi (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",128 triệu/m²,,Đã có sổ,Đất nền dự án,"Mặt tiền,Thổ cư toàn bộ",,7 m,18.5 m
"7,80 tỷ","Đường Đặng Thùy Trâm, Phường 13, Quận Bình Thạnh, Tp Hồ Chí Minh","102,63 triệu/m²",,Đã có sổ,Đất thổ cư,"Mặt tiền,Hẻm xe hơi",76 m²,4 m,19 m
"5,30 tỷ","Đường Số 13, Phường Bình Trưng Tây (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","74,65 triệu/m²",,Đã có sổ,Đất thổ cư,"Hẻm xe hơi,Thổ cư toàn bộ",71 m²,4 m,17.7 m
"4,95 tỷ","Đường Tân Thới Hiệp 21, Phường Tân Thới Hiệp, Quận 12, Tp Hồ Chí Minh",44 triệu/m²,Tây Bắc,Đã có sổ,Đất thổ cư,"Mặt tiền,Hẻm xe hơi,Nở hậu",112.5 m²,4.5 m,25 m
"17,90 tỷ","Đường Xuân Thuỷ, Phường Thảo Điền (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",179 triệu/m²,,Đã có sổ,Đất thổ cư,"Hẻm xe hơi,Thổ cư toàn bộ",100 m²,8 m,
750 triệu,"Đường Lê Thị Dung, Xã Vĩnh Lộc A, Huyện Bình Chánh, Tp Hồ Chí Minh","11,03 triệu/m²",Tây,Sổ chung / công chứng vi bằng,Đất thổ cư,Hẻm xe hơi,68 m²,4 m,17 m
"38,50 tỷ","Đường Võ Văn Vân, Xã Vĩnh Lộc B, Huyện Bình Chánh, Tp Hồ Chí Minh","30,03 triệu/m²",Đông,Đã có sổ,Đất thổ cư,"Mặt tiền,Hẻm xe hơi,Thổ cư toàn bộ",1282 m²,20 m,65 m
"1,20 tỷ","Đường Liên Xã Thị Trấn Tân Hiệp, Xã Tân Hiệp, Huyện Hóc Môn, Tp Hồ Chí Minh","13,04 triệu/m²",,Đã có sổ,Đất thổ cư,"Mặt tiền,Thổ cư toàn bộ",92 m²,5 m,18 m
5 tỷ,"Đường Nguyễn Thị Rành, Xã Phú Mỹ Hưng, Huyện Củ Chi, Tp Hồ Chí Minh","7,94 triệu/m²",,Đã có sổ,Đất thổ cư,Mặt tiền,630 m²,10 m,63 m
"2,24 tỷ",Cập nhật 2 ngày trước,"72,26 triệu/m²",,Đã có sổ,Đất thổ cư,"Mặt tiền,Hẻm xe hơi",31 m²,,
31 tỷ,Cập nhật 2 ngày trước,"190,18 triệu/m²",Bắc,Đã có sổ,Đất thổ cư,,163 m²,,
"6,50 tỷ",Cập nhật 2 ngày trước,"79,27 triệu/m²",Đông,Đã có sổ,Đất thổ cư,"Nở hậu,Hẻm xe hơi,Thổ cư toàn bộ",82 m²,,
"2,50 tỷ",Cập nhật 2 ngày trước,"47,17 triệu/m²",,Đã có sổ,Đất thổ cư,Hẻm xe hơi,53 m²,,
"3,30 tỷ","Đường Nguyễn Bình, Xã Nhơn Đức, Huyện Nhà Bè, Tp Hồ Chí Minh",40 triệu/m²,,Đã có sổ,Đất thổ cư,"Hẻm xe hơi,Thổ cư toàn bộ",82.5 m²,6 m,13.75 m
8 tỷ,"Đường Liên Ấp 1-2-3, Xã Vĩnh Lộc B, Huyện Bình Chánh, Tp Hồ Chí Minh","47,34 triệu/m²",,Đã có sổ,Đất thổ cư,Mặt tiền,169 m²,5 m,35 m
"9,35 tỷ","Đường Lê Văn Lương, Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh","55,99 triệu/m²",,Đã có sổ,Đất thổ cư,,167 m²,8 m,21 m
9 tỷ,"Đường Nguyễn Bình, Xã Nhơn Đức, Huyện Nhà Bè, Tp Hồ Chí Minh","40,18 triệu/m²",,Đã có sổ,Đất thổ cư,Mặt tiền,224 m²,7 m,32 m
"7,50 tỷ","Đường Nguyễn Bình, Xã Nhơn Đức, Huyện Nhà Bè, Tp Hồ Chí Minh","36,95 triệu/m²",,Đã có sổ,Đất thổ cư,Hẻm xe hơi,203 m²,19 m,11 m
360 triệu,"Đường Bờ Bao HTX Phong Phú, Xã Phong Phú, Huyện Bình Chánh, Tp Hồ Chí Minh","2,09 triệu/m²",,Đã có sổ,Đất thổ cư,"Mặt tiền,Nở hậu",172 m²,7 m,24.5 m
300 triệu,"Đường Trần Thị Cẩm, Xã Tân Phú Trung, Huyện Củ Chi, Tp Hồ Chí Minh","1,43 triệu/m²",,Đã có sổ,Đất thổ cư,Hẻm xe hơi,210 m²,10 m,21 m
"4,75 tỷ",Cập nhật 2 ngày trước,"52,78 triệu/m²",,Đã có sổ,Đất thổ cư,,90 m²,,
650 triệu,"Đường Số 44, Xã Tân Thông Hội, Huyện Củ Chi, Tp Hồ Chí Minh","2,80 triệu/m²",Đông,Đã có sổ,Đất nông nghiệp,"Mặt tiền,Hẻm xe hơi",232 m²,7 m,33 m
"4,20 tỷ","Hẻm 16 Đường 34, Phường Linh Đông (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",70 triệu/m²,,Đã có sổ,Đất thổ cư,Hẻm xe hơi,60 m²,4 m,15 m
"1,07 tỷ",Cập nhật 2 ngày trước,"7,23 triệu/m²",,Đã có sổ,Đất thổ cư,Thổ cư toàn bộ,148 m²,,
42 tỷ,"Đường Trường Chinh, Phường Tân Thới Nhất, Quận 12, Tp Hồ Chí Minh","66,04 triệu/m²",,Đã có sổ,Đất thổ cư,,636 m²,25 m,26 m
500 triệu,"Đường Nhữ Tiến Hiến, Thị trấn Củ Chi, Huyện Củ Chi, Tp Hồ Chí Minh","2,31 triệu/m²",,Đã có sổ,Đất thổ cư,Mặt tiền,216 m²,10 m,21.6 m
"1,40 tỷ","Đường Nguyễn Văn Khạ, Xã Phú Hòa Đông, Huyện Củ Chi, Tp Hồ Chí Minh","15,56 triệu/m²",,Đã có sổ,Đất thổ cư,Mặt tiền,90 m²,5 m,18 m
"16,50 tỷ","Đường số 1, Phường 7, Quận 8, Tp Hồ Chí Minh",165 triệu/m²,,Đã có sổ,Đất thổ cư,Mặt tiền,100 m²,5 m,20 m
"7,50 tỷ","Đường Hiệp Bình, Phường Hiệp Bình Chánh (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",75 triệu/m²,,Đã có sổ,Đất thổ cư,Mặt tiền,100 m²,5 m,20 m
"4,65 tỷ","Phạm Văn Chiêu , Phường 8, Quận Gò Vấp, Tp Hồ Chí Minh","67,39 triệu/m²",Tây Nam,Đã có sổ,Đất thổ cư,Thổ cư toàn bộ,69 m²,5.8 m,12 m
"10,80 tỷ","Đường Quốc lộ 13, Phường Hiệp Bình Phước (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","44,44 triệu/m²",,Đã có sổ,Đất thổ cư,"Mặt tiền,Thổ cư toàn bộ,Hẻm xe hơi",243 m²,12.5 m,17.6 m
37 tỷ,Cập nhật 2 ngày trước,"38,48 triệu/m²",,Đã có sổ,Đất thổ cư,"Mặt tiền,Hẻm xe hơi",961.5 m²,,
"3,80 tỷ",Cập nhật 2 ngày trước,"21,11 triệu/m²",,Đã có sổ,Đất thổ cư,Hẻm xe hơi,180 m²,,
"6,60 tỷ",Quốc Lộ 13,"62,86 triệu/m²",,Đã có sổ,Đất thổ cư,"Mặt tiền,Hẻm xe hơi",105 m²,4 m,28 m
"6,10 tỷ","Đường Hiệp Bình, Phường Hiệp Bình Chánh (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","65,17 triệu/m²",,Đã có sổ,Đất thổ cư,"Hẻm xe hơi,Thổ cư toàn bộ",93.6 m²,5.01 m,18.9 m
"6,70 tỷ",Đường Hiệp Bình,"104,69 triệu/m²",,Đã có sổ,Đất thổ cư,"Mặt tiền,Hẻm xe hơi,Thổ cư toàn bộ",64 m²,4 m,16 m
"4,40 tỷ",Cập nhật 2 ngày trước,"75,86 triệu/m²",,Đã có sổ,Đất thổ cư,"Mặt tiền,Hẻm xe hơi,Thổ cư toàn bộ",58 m²,,
"9,50 tỷ","Đường số 7, Phường Hiệp Bình Phước (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","73,76 triệu/m²",,Đã có sổ,Đất thổ cư,"Mặt tiền,Hẻm xe hơi,Thổ cư toàn bộ",128.8 m²,6.5 m,20 m
"2,73 tỷ","Đường Hà Huy Giáp, Phường Thạnh Lộc, Quận 12, Tp Hồ Chí Minh","53,53 triệu/m²",,Đã có sổ,Đất thổ cư,Hẻm xe hơi,51 m²,4.6 m,11 m
760 triệu,"Đường Nguyễn Thị Rành, Xã Nhuận Đức, Huyện Củ Chi, Tp Hồ Chí Minh","5,47 triệu/m²",,Đã có sổ,Đất thổ cư,"Mặt tiền,Thổ cư toàn bộ",139 m²,7 m,20 m
525 triệu,"Đường Hà Văn Lao, Xã Tân An Hội, Huyện Củ Chi, Tp Hồ Chí Minh","4,17 triệu/m²",Đông Nam,Đã có sổ,Đất thổ cư,"Mặt tiền,Thổ cư toàn bộ",126 m²,8 m,17 m
"21,46 tỷ","Đường số 15, Phường An Phú (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",185 triệu/m²,Đông Nam,Đã có sổ,Đất thổ cư,"Mặt tiền,Thổ cư toàn bộ",116 m²,5 m,23.2 m
570 triệu,"Đường Lê Thị Vui, Xã Phước Hiệp, Huyện Củ Chi, Tp Hồ Chí Minh","4,25 triệu/m²",Đông Nam,Đã có sổ,Đất thổ cư,,134 m²,8 m,17 m
"6,95 tỷ",Cập nhật 2 ngày trước,"78,98 triệu/m²",,Đã có sổ,Đất thổ cư,,88 m²,,
"2,95 tỷ","Đường Tỉnh lộ 10, Phường Tân Tạo, Quận Bình Tân, Tp Hồ Chí Minh","44,70 triệu/m²",,Đã có sổ,Đất thổ cư,"Mặt tiền,Thổ cư toàn bộ,Hẻm xe hơi",66 m²,4 m,16 m
"3,65 tỷ","Kinh dươ, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh","65,18 triệu/m²",,Đã có sổ,Đất thổ cư,"Mặt tiền,Thổ cư toàn bộ",56 m²,4 m,14 m
"1,79 tỷ","Long Phước, Phường Long Phước (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","31,96 triệu/m²",,Đã có sổ,Đất nền dự án,"Hẻm xe hơi,Thổ cư toàn bộ",56 m²,4 m,14 m
"7,50 tỷ","Đường Số 8, Phường Trường Thọ (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","60,78 triệu/m²",Đông Nam,Đã có sổ,Đất thổ cư,"Mặt tiền,Nở hậu,Hẻm xe hơi",123.4 m²,4.1 m,26.2 m
"4,80 tỷ","Tx 25, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh",48 triệu/m²,Đông Nam,Đã có sổ,Đất thổ cư,Mặt tiền,100 m²,5 m,20 m
"2,50 tỷ","Đường Tỉnh lộ 7, Xã Thái Mỹ, Huyện Củ Chi, Tp Hồ Chí Minh","13,44 triệu/m²",Đông Nam,Đã có sổ,Đất thổ cư,"Mặt tiền,Hẻm xe hơi,Nở hậu,Thổ cư toàn bộ",186 m²,5 m,37 m
"1,35 tỷ","Đường Nguyễn Văn Kha, Xã Phú Hòa Đông, Huyện Củ Chi, Tp Hồ Chí Minh","9,93 triệu/m²",,Đã có sổ,Đất thổ cư,"Mặt tiền,Thổ cư toàn bộ",136 m²,5 m,27 m
"1,40 tỷ","Đường Nguyễn Kim Cương, Xã Tân Thạnh Đông, Huyện Củ Chi, Tp Hồ Chí Minh","7,78 triệu/m²",,Đã có sổ,Đất thổ cư,"Mặt tiền,Thổ cư toàn bộ",180 m²,5 m,30 m
"4,28 tỷ","Chợ Đông thạnh, Xã Đông Thạnh, Huyện Hóc Môn, Tp Hồ Chí Minh","32,67 triệu/m²",,Đã có sổ,Đất thổ cư,,131 m²,7.7 m,20 m
