price,address,price_m2,direction,property_legal_document,land_type,pty_characteristics,size,width,length
490 triệu,"Đường Nhữ Tiến Hiến, Thị trấn Củ Chi, Huyện Củ Chi, Tp Hồ Chí Minh","2,27 triệu/m²",,Đã có sổ,Đất thổ cư,"Mặt tiền,Nở hậu,Hẻm xe hơi,Thổ cư toàn bộ",216 m²,10 m,20 m
"2,89 tỷ","Đường Thống Nhất, Phường 15, Quận Gò Vấp, Tp Hồ Chí Minh","60,21 triệu/m²",,Đã có sổ,Đất thổ cư,"Hẻm xe hơi,Nở hậu,Thổ cư toàn bộ",48 m²,4 m,12 m
"2,80 tỷ","Đường Đỗ Quang Cơ, Thị trấn Củ Chi, Huyện Củ Chi, Tp Hồ Chí Minh","21,15 triệu/m²",Tây Bắc,Đã có sổ,Đất thổ cư,"Nở hậu,Thổ cư toàn bộ,Mặt tiền",132.4 m²,4.49 m,27.44 m
"5,40 tỷ","Đường số 10, Phường Hiệp Bình Phước (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",75 triệu/m²,Đông Nam,Đã có sổ,Đất thổ cư,Mặt tiền,72 m²,4 m,18 m
"1,65 tỷ","Đường Liên khu 5-6, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh","25,78 triệu/m²",Nam,Đã có sổ,Đất nông nghiệp,"Mặt tiền,Hẻm xe hơi",64 m²,4 m,16 m
"4,25 tỷ","Đường Thống Nhất, Phường 15, Quận Gò Vấp, Tp Hồ Chí Minh","70,83 triệu/m²",Tây Bắc,Đã có sổ,Đất thổ cư,Hẻm xe hơi,60 m²,4.5 m,14 m
"1,25 tỷ","Sân Banh, Xã Bình Chánh, Huyện Bình Chánh, Tp Hồ Chí Minh","10,68 triệu/m²",,Đã có sổ,Đất thổ cư,"Mặt tiền,Thổ cư 1 phần",117 m²,10 m,11 m
"5,30 tỷ",Cập nhật 7 giờ trước,"66,25 triệu/m²",,Đã có sổ,Đất thổ cư,,80 m²,,
"6,40 tỷ","Hẻm 39 Đường Số 22, Phường Linh Đông (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",64 triệu/m²,Tây Nam,Đã có sổ,Đất thổ cư,"Mặt tiền,Hẻm xe hơi,Thổ cư toàn bộ",100 m²,4 m,25 m
"3,71 tỷ",Đường Hồ Học Lãm,65 triệu/m²,,Đã có sổ,Đất thổ cư,"Mặt tiền,Hẻm xe hơi,Nở hậu,Thổ cư toàn bộ",57 m²,4 m,14.3 m
"1,05 tỷ","Đường Liên Ấp 2-3, Xã Đa Phước, Huyện Bình Chánh, Tp Hồ Chí Minh","7,95 triệu/m²",Đông Nam,Đã có sổ,Đất thổ cư,Hẻm xe hơi,132 m²,6 m,22 m
"3,42 tỷ","Đường An Phú Đông 12, Phường An Phú Đông, Quận 12, Tp Hồ Chí Minh","68,03 triệu/m²",Nam,Đã có sổ,Đất thổ cư,"Hẻm xe hơi,Thổ cư toàn bộ",50.27 m²,4.57 m,11 m
"5,49 tỷ","Đường Huỳnh Tấn Phát, Xã Phú Xuân, Huyện Nhà Bè, Tp Hồ Chí Minh","48,58 triệu/m²",,Đã có sổ,Đất thổ cư,Hẻm xe hơi,113 m²,5 m,23 m
"13,70 tỷ","Kênh T1, Xã Tân Hiệp, Huyện Hóc Môn, Tp Hồ Chí Minh","3,98 triệu/m²",,Đã có sổ,Đất nông nghiệp,"Nở hậu,Hẻm xe hơi,Chưa có thổ cư",3440 m²,50 m,68 m
"1,70 tỷ","Đường Chảy Đá, Xã Tân Thạnh Đông, Huyện Củ Chi, Tp Hồ Chí Minh",17 triệu/m²,,Đã có sổ,Đất thổ cư,"Hẻm xe hơi,Thổ cư toàn bộ",100 m²,5 m,20 m
"11,50 tỷ","150 , Tân Hiệp 10, Xã Tân Hiệp, Huyện Hóc Môn, Tp Hồ Chí Minh","28,05 triệu/m²",Tây,Đã có sổ,Đất thổ cư,"Mặt tiền,Thổ cư toàn bộ",410 m²,20 m,22 m
"6,50 tỷ","Đường Phạm Văn Đồng, Phường Hiệp Bình Chánh (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",50 triệu/m²,,Đã có sổ,Đất thổ cư,Mặt tiền,130 m²,7 m,19 m
"4,59 tỷ","Đường Nguyễn Văn Quá, Phường Đông Hưng Thuận, Quận 12, Tp Hồ Chí Minh","61,20 triệu/m²",,Đã có sổ,Đất thổ cư,Hẻm xe hơi,75 m²,4 m,19 m
620 triệu,"Đường Số 28, Xã Phước Vĩnh An, Huyện Củ Chi, Tp Hồ Chí Minh","2,84 triệu/m²",,Đã có sổ,Đất thổ cư,,218 m²,5 m,43 m
"4,50 tỷ",Cập nhật 8 giờ trước,"86,54 triệu/m²",,Đã có sổ,Đất nền dự án,,52 m²,,
480 triệu,"phú thuận, Xã Trung Lập Thượng, Huyện Củ Chi, Tp Hồ Chí Minh","1,61 triệu/m²",,Đã có sổ,Đất thổ cư,"Mặt tiền,Thổ cư toàn bộ",298 m²,31 m,9.6 m
10 tỷ,"Nhị Bình 15, Xã Nhị Bình, Huyện Hóc Môn, Tp Hồ Chí Minh","9,26 triệu/m²",,Đã có sổ,Đất thổ cư,"Hẻm xe hơi,Thổ cư 1 phần",1080 m²,12 m,90 m
"22,70 tỷ",Cập nhật 8 giờ trước,"94,58 triệu/m²",Tây,Đã có sổ,Đất thổ cư,"Hẻm xe hơi,Thổ cư toàn bộ,Nở hậu",240 m²,,
650 triệu,"., Xã Phước Vĩnh An, Huyện Củ Chi, Tp Hồ Chí Minh",5 triệu/m²,,Đã có sổ,Đất thổ cư,"Mặt tiền,Nở hậu,Thổ cư toàn bộ,Hẻm xe hơi",130 m²,6 m,22 m
"22,70 tỷ",Cập nhật 8 giờ trước,"94,58 triệu/m²",Tây,Đã có sổ,Đất thổ cư,"Hẻm xe hơi,Thổ cư toàn bộ,Nở hậu",240 m²,,
650 triệu,"., Xã Phước Vĩnh An, Huyện Củ Chi, Tp Hồ Chí Minh",5 triệu/m²,,Đã có sổ,Đất thổ cư,"Mặt tiền,Nở hậu,Thổ cư toàn bộ,Hẻm xe hơi",130 m²,6 m,22 m
565 triệu,"Đường Tỉnh lộ 8, Thị trấn Củ Chi, Huyện Củ Chi, Tp Hồ Chí Minh","3,53 triệu/m²",Đông,Đã có sổ,Đất thổ cư,,160 m²,8 m,20 m
500 triệu,"Đường Nhữ Tiến Hiến, Thị trấn Củ Chi, Huyện Củ Chi, Tp Hồ Chí Minh","2,31 triệu/m²",,Đã có sổ,Đất thổ cư,,216 m²,10 m,21.6 m
