price,rooms,toilets,floors,house_type,furnishing_sell,size,district,province
9200000000.0,4,5,4.0,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,31.000438049668094,Quận Phú Nhuận,Hồ Chí Minh
1850000000.0,2,2,1.0,"Nhà ngõ, hẻm",,27.501114910063922,Quận 12,Hồ Chí Minh
860000000.0,1,1,0.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,60.013956734124214,Quận 12,Hồ Chí Minh
6000000000.0,5,5,0.0,"Nhà ngõ, hẻm",,86.60508083140877,Quận Tân Phú,Hồ Chí Minh
6200000000.0,4,0,3.0,"Nhà ngõ, hẻm",,73.0012951842694,Quận Bình Tân,Hồ Chí Minh
9400000000.0,6,6,4.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,84.99864363866534,Quận Phú Nhuận,Hồ Chí Minh
8900000000.0,4,5,3.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,100.0,Quận 4,Hồ Chí Minh
3980000000.0,2,2,2.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,36.999163335502466,Quận Gò Vấp,Hồ Chí Minh
6200000000.0,5,4,4.0,"Nhà ngõ, hẻm",Nội thất cao cấp,40.0,Quận Bình Thạnh,Hồ Chí Minh
10300000000.0,5,4,0.0,"Nhà ngõ, hẻm",,89.000259224056,Quận 8,Hồ Chí Minh
7000000000.0,9,0,5.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,38.00010857173878,Quận Bình Thạnh,Hồ Chí Minh
5400000000.0,2,2,2.0,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,63.003150157507875,Quận 12,Hồ Chí Minh
7000000000.0,9,0,5.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,38.00010857173878,Quận Bình Thạnh,Hồ Chí Minh
5400000000.0,2,2,2.0,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,63.003150157507875,Quận 12,Hồ Chí Minh
5450000000.0,2,2,0.0,"Nhà ngõ, hẻm",,69.99743128692525,Quận 7,Hồ Chí Minh
3400000000.0,6,5,0.0,"Nhà ngõ, hẻm",,35.001029442042416,Quận 4,Hồ Chí Minh
10800000000.0,4,0,4.0,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,120.0,Quận 8,Hồ Chí Minh
1150000000.0,3,3,2.0,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,113.97423191278493,Huyện Bình Chánh,Hồ Chí Minh
6500000000.0,6,0,5.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,35.00080771094718,Quận Bình Thạnh,Hồ Chí Minh
7350000000.0,4,0,4.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,64.9982313406438,Quận Bình Thạnh,Hồ Chí Minh
3500000000.0,2,2,3.0,"Nhà ngõ, hẻm",,26.999922857363266,Quận Phú Nhuận,Hồ Chí Minh
4390000000.0,4,3,3.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,52.001895285477374,Quận Bình Tân,Hồ Chí Minh
780000000.0,1,1,2.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,22.002820874471087,Quận 12,Hồ Chí Minh
3550000000.0,2,2,0.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,66.99377240988866,Quận Bình Tân,Hồ Chí Minh
7250000000.0,4,4,4.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,40.0,Quận Bình Thạnh,Hồ Chí Minh
3550000000.0,2,2,0.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,66.99377240988866,Quận Bình Tân,Hồ Chí Minh
7250000000.0,4,4,4.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,40.0,Quận Bình Thạnh,Hồ Chí Minh
1300000000.0,1,1,2.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,14.999423099111572,Quận Gò Vấp,Hồ Chí Minh
1200000000.0,3,3,2.0,"Nhà mặt phố, mặt tiền",,100.0,Huyện Bình Chánh,Hồ Chí Minh
9500000000.0,8,0,5.0,"Nhà ngõ, hẻm",Nội thất cao cấp,40.0,Quận Phú Nhuận,Hồ Chí Minh
5550000000.0,4,4,3.0,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,89.99513539808659,Huyện Nhà Bè,Hồ Chí Minh
8300000000.000001,4,5,5.0,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,71.99861207494796,Quận 12,Hồ Chí Minh
8500000000.0,4,4,4.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,40.0,Quận Bình Thạnh,Hồ Chí Minh
2980000000.0,2,2,2.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,40.0,Quận Bình Tân,Hồ Chí Minh
4200000000.0,2,2,2.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,52.996845425867505,Quận Tân Phú,Hồ Chí Minh
5700000000.0,6,4,4.0,"Nhà mặt phố, mặt tiền",,50.30003529827039,Quận Bình Tân,Hồ Chí Minh
2690000000.0,4,3,2.0,Nhà phố liền kề,Nội thất đầy đủ,64.00190340233166,Quận Gò Vấp,Hồ Chí Minh
4400000000.0,2,2,2.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,50.0,Quận Tân Phú,Hồ Chí Minh
2690000000.0,4,3,2.0,Nhà phố liền kề,Nội thất đầy đủ,64.00190340233166,Quận Gò Vấp,Hồ Chí Minh
4400000000.0,2,2,2.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,50.0,Quận Tân Phú,Hồ Chí Minh
6500000000.0,3,2,3.0,"Nhà ngõ, hẻm",,80.0,Quận Bình Tân,Hồ Chí Minh
4800000000.0,3,3,3.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,106.9995541685243,Quận 12,Hồ Chí Minh
7000000000.0,4,0,4.0,"Nhà ngõ, hẻm",,78.003120124805,Quận Bình Thạnh,Hồ Chí Minh
2350000000.0,2,2,2.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,40.0,Quận Bình Tân,Hồ Chí Minh
2350000000.0,2,2,2.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,40.0,Quận Bình Tân,Hồ Chí Minh
2250000000.0,2,3,0.0,"Nhà ngõ, hẻm",,34.99766682221185,Quận Gò Vấp,Hồ Chí Minh
8199999999.999999,4,2,2.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,79.99999999999999,Quận Tân Phú,Hồ Chí Minh
2950000000.0,2,2,1.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,50.0,Quận Tân Bình,Hồ Chí Minh
2900000000.0,4,4,0.0,Nhà phố liền kề,Nội thất đầy đủ,43.999393111819145,Quận Gò Vấp,Hồ Chí Minh
2470000000.0,3,3,2.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,20.999829960891006,Quận Bình Tân,Hồ Chí Minh
7000000000.0,2,1,1.0,"Nhà ngõ, hẻm",,89.99742864489586,Thành phố Thủ Đức,Hồ Chí Minh
2470000000.0,3,3,2.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,20.999829960891006,Quận Bình Tân,Hồ Chí Minh
7000000000.0,2,1,1.0,"Nhà ngõ, hẻm",,89.99742864489586,Thành phố Thủ Đức,Hồ Chí Minh
2300000000.0,2,2,1.0,"Nhà mặt phố, mặt tiền",Hoàn thiện cơ bản,45.000978282136565,Huyện Hóc Môn,Hồ Chí Minh
7700000000.0,3,3,2.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,82.0021299254526,Quận Tân Phú,Hồ Chí Minh
8600000000.0,4,4,4.0,"Nhà ngõ, hẻm",Nội thất cao cấp,60.001395381287935,Quận Bình Thạnh,Hồ Chí Minh
1400000000.0,3,1,1.0,"Nhà ngõ, hẻm",,46.00722970752547,Thành phố Thủ Đức,Hồ Chí Minh
3800000000.0,6,2,2.0,"Nhà ngõ, hẻm",Nội thất cao cấp,71.99696854869269,Quận Bình Tân,Hồ Chí Minh
2000000000.0,4,3,2.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,56.00672080649678,Huyện Bình Chánh,Hồ Chí Minh
3350000000.0,2,2,0.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,57.30413958262059,Quận 12,Hồ Chí Minh
3350000000.0,2,2,0.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,57.30413958262059,Quận 12,Hồ Chí Minh
1880000000.0,4,3,0.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,29.99840434019467,Quận Bình Tân,Hồ Chí Minh
5000000000.0,2,2,2.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,54.00151204233718,Quận 6,Hồ Chí Minh
1400000000.0,3,3,2.0,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,126.01260126012602,Huyện Bình Chánh,Hồ Chí Minh
1150000000.0,3,2,2.0,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,70.98765432098766,Thành phố Thủ Đức,Hồ Chí Minh
3400000000.0,2,2,2.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,78.99628252788104,Quận Bình Tân,Hồ Chí Minh
4300000000.0,2,2,3.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,30.000697690643968,Quận Phú Nhuận,Hồ Chí Minh
3800000000.0,2,2,1.0,"Nhà ngõ, hẻm",,74.99506611407145,Quận 8,Hồ Chí Minh
4750000000.0,2,2,0.0,"Nhà ngõ, hẻm",,62.00234956272027,Quận Tân Phú,Hồ Chí Minh
9800000000.0,5,6,4.0,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,64.99966836903893,Quận 12,Hồ Chí Minh
1880000000.0,4,3,0.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,29.99840434019467,Quận Bình Tân,Hồ Chí Minh
5000000000.0,2,2,2.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,54.00151204233718,Quận 6,Hồ Chí Minh
1400000000.0,3,3,2.0,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,126.01260126012602,Huyện Bình Chánh,Hồ Chí Minh
1150000000.0,3,2,2.0,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,70.98765432098766,Thành phố Thủ Đức,Hồ Chí Minh
3400000000.0,2,2,2.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,78.99628252788104,Quận Bình Tân,Hồ Chí Minh
4300000000.0,2,2,3.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,30.000697690643968,Quận Phú Nhuận,Hồ Chí Minh
3800000000.0,2,2,1.0,"Nhà ngõ, hẻm",,74.99506611407145,Quận 8,Hồ Chí Minh
4750000000.0,2,2,0.0,"Nhà ngõ, hẻm",,62.00234956272027,Quận Tân Phú,Hồ Chí Minh
9800000000.0,5,6,4.0,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,64.99966836903893,Quận 12,Hồ Chí Minh
850000000.0,3,2,2.0,"Nhà ngõ, hẻm",Nội thất cao cấp,90.04237288135593,Huyện Bình Chánh,Hồ Chí Minh
