DistrictId,WardId,StreetId,Size,Type,FurnishingSell,Urgent,Price
13,156,1410,120.0,Mặt bằng kinh doanh,Nội thất đầy đủ,1,16899999999.999998
17,218,2071,220.0,Mặt bằng kinh doanh,,0,38000000000.0
17,213,2034,160.0,Mặt bằng kinh doanh,,0,42000000000.0
1,7,80,91.0,Mặt bằng kinh doanh,,0,5400000000.0
8,86,759,60.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,0,11000000.0
1,9,90,86.0,Mặt bằng kinh doanh,,0,15900000000.0
9,107,952,108.0,Mặt bằng kinh doanh,,0,11000000000.0
18,225,2123,140.0,Mặt bằng kinh doanh,,0,19500000000.0
9,109,984,110.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,0,9300000000.0
19,242,2328,10.0,Mặt bằng kinh doanh,Nội thất đầy đủ,0,12000000.0
16,206,1972,40.0,Mặt bằng kinh doanh,,0,8500000.0
9,102,902,26.0,Shophouse,Hoàn thiện cơ bản,0,5000000000.0
12,153,1349,116.0,Shophouse,,0,6900000000.0
16,205,1967,154.0,Mặt bằng kinh doanh,Nội thất cao cấp,0,250000000.0
18,238,2262,200.0,Mặt bằng kinh doanh,Nội thất đầy đủ,0,250000000.0
9,106,938,199.2,Văn phòng,Hoàn thiện cơ bản,0,33000000000.0
7,76,610,110.0,Mặt bằng kinh doanh,Nội thất cao cấp,0,36000000000.0
2,13,148,280.0,Shophouse,,0,16000000000.0
14,166,1526,85.0,Shophouse,Hoàn thiện cơ bản,0,6200000000.0
19,244,2356,120.0,Mặt bằng kinh doanh,,0,11500000000.0
12,152,1321,180.0,Mặt bằng kinh doanh,,0,12500000000.0
8,88,814,151.0,Shophouse,Hoàn thiện cơ bản,0,5200000000.0
8,90,834,330.0,Mặt bằng kinh doanh,,0,46000000000.0
6,68,539,44.0,Văn phòng,,0,4990000000.0
19,248,2424,74.0,Mặt bằng kinh doanh,,0,14000000000.0
9,107,949,100.0,Shophouse,Hoàn thiện cơ bản,0,3800000000.0
19,246,2399,86.0,Mặt bằng kinh doanh,,0,14800000000.0
18,238,2272,57.0,Mặt bằng kinh doanh,,0,13500000000.0
12,152,1321,125.0,Mặt bằng kinh doanh,,0,8500000000.0
6,69,544,80.0,Mặt bằng kinh doanh,Nội thất đầy đủ,0,370000000.0
12,153,1354,240.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,0,15000000000.0
10,116,1038,45.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,0,11800000000.0
10,126,1116,70.0,Mặt bằng kinh doanh,Nội thất đầy đủ,0,14300000000.0
6,68,523,76.0,Mặt bằng kinh doanh,,0,8000000000.0
6,68,523,70.0,Mặt bằng kinh doanh,,0,9000000000.0
6,68,523,75.0,Mặt bằng kinh doanh,,0,8000000000.0
3,20,292,174.3,Mặt bằng kinh doanh,,0,42000000000.0
